formula_pretty,material_id,Cohesive energy,ρ0λ,,,,
FeRu,mp-1224803,5.39 ,4.63 ,,,,
VOs,mp-12778,6.97 ,4.84 ,,,,
MnIr,mp-1221583,4.98 ,4.88 ,,,,
Nb3Cr,mp-999439,6.61 ,4.92 ,,,,
TiCr,mp-1216959,4.34 ,4.93 ,,,,
Ta3W,mp-1187206,8.34 ,5.02 ,,,,
NiPd,mp-1220057,4.11 ,5.10 ,,,,
TaOs3,mp-1187243,8.30 ,5.27 ,,,,
Al3Ga,mp-983594,3.21 ,5.36 ,,,,
CuRu3,mp-1184121,5.64 ,5.39 ,,,,
CrRh3,mp-12585,5.41 ,5.69 ,,,,
MgPt7,mp-1206346,5.63 ,5.73 ,,,,
TaRu,mp-1601,7.73 ,5.89 ,,,,
MoRu,mp-1221386,6.70 ,6.03 ,,,,
TiCo3,mp-608,4.74 ,6.19 ,,,,
Al3Cu,mp-1183161,3.46 ,6.23 ,,,,
Re3Mo,mp-974589,7.61 ,6.24 ,,,,
TaW,mp-1217811,8.56 ,6.40 ,,,,
MoPt,mp-1221433,6.49 ,6.50 ,,,,
OsRu3,mp-974326,7.11 ,6.68 ,,,,
Re3Rh,mp-1219539,7.54 ,6.91 ,,,,
Ti3Nb,mp-1217091,5.48 ,6.92 ,,,,
CrCo,mp-1010071,4.07 ,7.07 ,,,,
TiCo,mp-823,4.99 ,7.10 ,,,,
ZnCu,mp-987,2.51 ,7.22 ,,,,
Cr3Ru,mp-1272,4.69 ,7.23 ,,,,
Hf3Au,mp-976725,5.98 ,7.25 ,,,,
AlCu3,mp-12777,3.63 ,7.27 ,,,,
TiCo2,mp-695,4.83 ,7.40 ,,,,
NbRe,mp-1220322,7.94 ,7.40 ,,,,
AlNi,mp-1487,4.58 ,7.43 ,,,,
Al3Cu,mp-985825,3.51 ,7.45 ,,,,
MgPt5,mp-1185945,5.43 ,7.45 ,,,,
Os3W,mp-1186374,8.41 ,7.48 ,,,,
ZnNi,mp-1486,3.14 ,7.49 ,,,,
CdCu3,mp-1183623,2.84 ,7.54 ,,,,
ZnCu3,mp-1215518,2.97 ,7.54 ,,,,
Al2Cu,mp-998,3.58 ,7.65 ,,,,
TiCo3,mp-1079863,4.71 ,7.68 ,,,,
VPd2,mp-11549,4.63 ,7.78 ,,,,
V3Ga,mp-22568,4.85 ,7.79 ,,,,
Fe2Ge,mp-568258,3.92 ,7.82 ,,,,
ZnCu2,mp-1215401,2.81 ,7.84 ,,,,
AlCo3,mp-1018101,4.32 ,7.84 ,,,,
CrIr3,mp-1183749,6.45 ,7.89 ,,,,
AlCu3,mp-12802,3.65 ,7.91 ,,,,
VPt8,mp-1079997,6.05 ,8.03 ,,,,
AlNi3,mp-2593,4.61 ,8.07 ,,,,
YMn2,mp-558,3.24 ,8.11 ,,,,
Mn3Re,mp-1185924,4.14 ,8.18 ,,,,
CrFe3,mp-1018067,4.17 ,8.24 ,,,,
Ga2Pt,mp-22095,4.43 ,8.28 ,,,,
MgCu2,mp-1038,2.98 ,8.29 ,,,,
Fe3Cu,mp-1225131,4.01 ,8.39 ,,,,
MgIn3,mp-973320,2.29 ,8.41 ,,,,
MnAu,mp-12675,3.37 ,8.42 ,,,,
V3Fe,mp-1187697,5.20 ,8.44 ,,,,
MnAu,mp-12674,3.37 ,8.45 ,,,,
Zn3Cu,mp-1215483,1.88 ,8.46 ,,,,
AgGe3,mp-1183245,3.36 ,8.46 ,,,,
Ni2Ge,mp-1594,4.53 ,8.47 ,,,,
Ti3Sb,mp-1412,4.70 ,8.53 ,,,,
BeAg3,mp-984719,2.84 ,8.54 ,,,,
ScSn,mp-1206765,3.96 ,8.58 ,,,,
MgNi,mp-1185908,3.13 ,8.60 ,,,,
MgCu,mp-2672345,2.60 ,8.68 ,,,,
In3Ge,mp-974310,2.74 ,8.69 ,,,,
Tl3In,mp-1187638,2.02 ,8.70 ,,,,
MnGe3,mp-1186709,3.34 ,8.74 ,,,,
NbPt2,mp-11514,7.11 ,8.75 ,,,,
MgCd,mp-1039157,1.20 ,8.83 ,,,,
Co2Sn,mp-571365,3.82 ,8.83 ,,,,
GaAg3,mp-1183967,2.93 ,8.87 ,,,,
TaW3,mp-979289,8.79 ,9.01 ,,,,
V3Os,mp-866121,6.38 ,9.05 ,,,,
Co3Sn,mp-1226145,3.87 ,9.08 ,,,,
ZnIn3,mp-981211,2.14 ,9.08 ,,,,
InSb,mp-19744,2.57 ,9.16 ,,,,
YCu2,mp-1077241,3.94 ,9.21 ,,,,
Al2Cu,mp-985806,3.60 ,9.24 ,,,,
InRu3,mp-1095082,5.34 ,9.24 ,,,,
Ti2Co,mp-30566,4.28 ,9.25 ,,,,
Zn3Cu,mp-972042,1.95 ,9.26 ,,,,
AgPd,mp-1183222,3.47 ,9.27 ,,,,
Tl3Ag,mp-1187490,2.04 ,9.30 ,,,,
MnAu3,mp-1206376,3.60 ,9.32 ,,,,
CuBi,mp-569792,2.76 ,9.36 ,,,,
Ag3Ge,mp-1229108,3.10 ,9.36 ,,,,
MgTl3,mp-1185990,1.75 ,9.38 ,,,,
ScCu,mp-1169,3.97 ,9.45 ,,,,
Tl3Zn,mp-981380,1.61 ,9.52 ,,,,
Ag3Sn,mp-1229107,2.93 ,9.52 ,,,,
SrRh2,mp-1328,4.63 ,9.62 ,,,,
CuGe3,mp-1025440,3.47 ,9.62 ,,,,
KPt3,mp-1185053,4.18 ,9.70 ,,,,
SbPt7,mp-1030,5.56 ,9.70 ,,,,
In2Pt,mp-22682,4.12 ,9.72 ,,,,
SnGe3,mp-1187066,3.40 ,9.74 ,,,,
InPt3,mp-20516,5.38 ,9.74 ,,,,
LiMg3,mp-1094670,1.56 ,9.75 ,,,,
MgSn2,mp-1094235,2.61 ,9.75 ,,,,
Ag3Ge,mp-985282,3.09 ,9.77 ,,,,
AlFe3,mp-1228919,4.14 ,9.78 ,,,,
YSc,mp-1215893,4.08 ,9.79 ,,,,
NbSn3,mp-1186237,3.95 ,9.85 ,,,,
Co3Sn,mp-1183774,3.98 ,9.88 ,,,,
Mg2Zn,mp-1094503,1.51 ,9.91 ,,,,
LiAu,mp-1222403,3.13 ,9.91 ,,,,
Mg2Sn,mp-1094518,2.11 ,9.96 ,,,,
MnCd3,mp-1185991,1.43 ,9.97 ,,,,
MgIn2,mp-1185905,2.21 ,9.98 ,,,,
Cd3Ir,mp-1183626,2.50 ,9.98 ,,,,
Nb3Fe,mp-999395,6.73 ,9.99 ,,,,
MgCd,mp-1038767,1.42 ,10.05 ,,,,
Mg3Ga,mp-1094854,1.88 ,10.15 ,,,,
AlNi2,mp-1025044,4.59 ,10.16 ,,,,
MgZn5,mp-1094462,1.40 ,10.18 ,,,,
MgNi3,mp-1185907,3.78 ,10.24 ,,,,
Al2Ni3,mp-1229048,4.55 ,10.24 ,,,,
Li3Mg,mp-976254,1.63 ,10.29 ,,,,
Cd3Pt,mp-1183654,2.52 ,10.29 ,,,,
HfAu,mp-1206652,4.62 ,10.31 ,,,,
LiMg,mp-1094578,1.61 ,10.35 ,,,,
Mg2Sn,mp-1094242,2.11 ,10.35 ,,,,
Cu3Sn,mp-581786,3.40 ,10.40 ,,,,
Ta2Fe,mp-1102936,6.55 ,10.40 ,,,,
MgPb2,mp-1185999,1.88 ,10.43 ,,,,
MnPd,mp-238,3.58 ,10.46 ,,,,
LiMg,mp-1094594,1.61 ,10.57 ,,,,
Ag3Pd,mp-985296,3.24 ,10.63 ,,,,
NiAg3,mp-976762,3.15 ,10.67 ,,,,
Al4Cu15,mp-1228752,3.57 ,10.75 ,,,,
CuAu3,mp-2103,3.75 ,10.78 ,,,,
Cr2Co,mp-1077706,3.94 ,10.79 ,,,,
TiMo,mp-998968,5.14 ,11.18 ,,,,
Ta3Os,mp-1187197,8.40 ,11.24 ,,,,
LiMg2,mp-1094574,1.57 ,11.30 ,,,,
Ti2Pd,mp-13164,4.96 ,11.31 ,,,,
Mg2Zn,mp-1094448,1.48 ,11.39 ,,,,
LiMg2,mp-1094570,1.59 ,11.42 ,,,,
HfSb3,mp-976582,3.59 ,11.44 ,,,,
MoPb3,mp-1186019,2.51 ,11.45 ,,,,
MgAl2,mp-1094116,2.78 ,11.48 ,,,,
Mg2Zn,mp-1094465,1.46 ,11.50 ,,,,
NaTl3,mp-1186189,1.76 ,11.60 ,,,,
Co3Sn2,mp-1226032,3.84 ,11.61 ,,,,
Mg5Sn,mp-1094227,1.79 ,11.62 ,,,,
MnAu4,mp-12565,3.71 ,11.63 ,,,,
YCu,mp-712,4.18 ,11.64 ,,,,
Re3Ni,mp-862604,6.92 ,11.68 ,,,,
ScAl,mp-999206,3.97 ,11.72 ,,,,
MgCr,mp-973060,2.23 ,11.74 ,,,,
LiY3,mp-1185240,3.49 ,11.80 ,,,,
MnAu2,mp-11252,3.62 ,11.83 ,,,,
MnAu3,mp-1186010,3.64 ,11.85 ,,,,
InPt,mp-1223656,4.45 ,11.92 ,,,,
Ti3Ga,mp-998988,4.52 ,11.92 ,,,,
CaPd2,mp-1063133,3.68 ,11.95 ,,,,
Ta2Be,mp-11278,6.67 ,11.97 ,,,,
Cu3Ru,mp-1184026,4.01 ,12.03 ,,,,
CdAu3,mp-865144,3.27 ,12.12 ,,,,
SbPt3,mp-973354,5.18 ,12.16 ,,,,
VAu2,mp-30423,4.30 ,12.19 ,,,,
AlCu,mp-2500,3.65 ,12.35 ,,,,
Al4Ni15,mp-1228713,4.50 ,12.35 ,,,,
YZr,mp-971933,5.20 ,12.35 ,,,,
CaIn,mp-20263,2.76 ,12.38 ,,,,
LiMg2,mp-1094600,1.59 ,12.41 ,,,,
Rb3Li,mp-974959,0.91 ,12.42 ,,,,
V3Ir,mp-2006,6.22 ,12.44 ,,,,
SrIn5,mp-1206486,2.53 ,12.46 ,,,,
Mn2Au5,mp-30410,3.63 ,12.47 ,,,,
Mg2Bi,mp-1039182,1.78 ,12.48 ,,,,
MgCd,mp-978274,1.43 ,12.50 ,,,,
Al3Cu2,mp-10886,3.59 ,12.51 ,,,,
Ti5Mn7,mp-1217189,3.95 ,12.53 ,,,,
Al3Ni5,mp-16514,4.61 ,12.66 ,,,,
ZrCd,mp-1017540,3.83 ,12.85 ,,,,
Mg7Ni,mp-1016301,1.85 ,12.86 ,,,,
Mg2Sb,mp-1094536,2.04 ,13.02 ,,,,
CsSr3,mp-1184035,1.33 ,13.12 ,,,,
SrCd,mp-30496,1.77 ,13.13 ,,,,
Ge3W5,mp-1212535,6.63 ,13.14 ,,,,
BaAu5,mp-30364,3.93 ,13.26 ,,,,
ScAl3,mp-2121,3.97 ,13.27 ,,,,
MgGa2,mp-30651,2.49 ,13.35 ,,,,
Mg2Bi,mp-1039091,1.82 ,13.36 ,,,,
InBi,mp-569765,2.34 ,13.37 ,,,,
HfTi3,mp-1184672,5.22 ,13.39 ,,,,
ScZn2,mp-13503,2.54 ,13.40 ,,,,
Zr3Fe,mp-31205,5.89 ,13.40 ,,,,
Sc3Al,mp-862259,4.04 ,13.52 ,,,,
MgCd2,mp-1039543,1.33 ,13.55 ,,,,
Al3Ni2,mp-1057,4.43 ,13.55 ,,,,
Ag3Sn,mp-611,3.02 ,13.58 ,,,,
TaCo2,mp-570463,5.85 ,13.61 ,,,,
MgTi3,mp-1094865,3.92 ,13.91 ,,,,
AlMo3,mp-259,6.22 ,13.94 ,,,,
CaMg2,mp-1039393,1.75 ,14.00 ,,,,
BaBi3,mp-23201,2.61 ,14.01 ,,,,
Mg2Sb,mp-1094554,2.13 ,14.03 ,,,,
NiSb2,mp-19895,3.52 ,14.03 ,,,,
YAl,mp-11228,4.30 ,14.03 ,,,,
NaCo3,mp-973352,2.93 ,14.13 ,,,,
In2Sb,mp-1207221,2.61 ,14.26 ,,,,
Mn7Fe3,mp-1221991,4.57 ,14.28 ,,,,
MgBi,mp-1185694,1.97 ,14.44 ,,,,
Ag3Ge,mp-985283,3.08 ,14.45 ,,,,
VZn3,mp-11578,2.38 ,14.46 ,,,,
TiAl3,mp-542915,4.15 ,14.48 ,,,,
Ti3Pd5,mp-570199,4.84 ,14.50 ,,,,
Hf3Pt,mp-974049,6.69 ,14.52 ,,,,
Mg2Ni,mp-1101861,2.45 ,14.57 ,,,,
RbMg7,mp-1016325,1.19 ,14.59 ,,,,
Mg2Ti,mp-1094502,2.38 ,14.74 ,,,,
Hf3Ge,mp-1184664,6.05 ,14.79 ,,,,
MgZn2,mp-978269,1.53 ,14.84 ,,,,
YMg5,mp-1094405,1.97 ,14.84 ,,,,
AgSn3,mp-1183248,2.99 ,14.87 ,,,,
V3Ni,mp-7226,5.25 ,15.15 ,,,,
PdPb3,mp-1186443,2.51 ,15.30 ,,,,
CdBi3,mp-1183629,1.85 ,15.34 ,,,,
KCd3,mp-1184962,1.12 ,15.44 ,,,,
Mg5Ga2,mp-1770,2.00 ,15.50 ,,,,
CaMg,mp-1039552,1.79 ,15.56 ,,,,
YCd3,mp-2349,2.27 ,15.72 ,,,,
Mg2Bi,mp-1038906,1.78 ,15.76 ,,,,
ZnCr3,mp-971752,3.17 ,15.80 ,,,,
Sc3Bi,mp-1186964,3.82 ,15.85 ,,,,
Ca3Cd,mp-1183501,1.96 ,15.87 ,,,,
InPt,mp-510438,4.66 ,15.94 ,,,,
ScAg2,mp-1018128,3.57 ,16.13 ,,,,
Mg3Os,mp-978290,3.02 ,16.17 ,,,,
AlPt2,mp-16526,5.88 ,16.17 ,,,,
Mg5Ti,mp-1094366,1.95 ,16.34 ,,,,
Zr4Mo,mp-1207454,5.47 ,16.41 ,,,,
Al3Ni,mp-622209,4.06 ,16.45 ,,,,
MgTi,mp-1094345,3.00 ,16.48 ,,,,
Na3Ti,mp-1186007,1.36 ,16.55 ,,,,
Ti3Be,mp-1187475,4.47 ,16.57 ,,,,
ZrSn,mp-1094263,4.95 ,16.65 ,,,,
MgTi,mp-1094341,2.99 ,16.67 ,,,,
Na3Pd,mp-1186067,1.83 ,16.70 ,,,,
Na3Ge,mp-1185667,1.82 ,16.71 ,,,,
Ti4Co,mp-1208254,4.27 ,16.78 ,,,,
Sr2Rh,mp-1063245,3.16 ,16.84 ,,,,
Ti2Pd3,mp-30840,4.85 ,17.00 ,,,,
Mn7Sb4,mp-1221744,2.70 ,17.14 ,,,,
Zr3Sn,mp-1188061,5.83 ,17.15 ,,,,
OsW2,mp-1192771,8.66 ,17.18 ,,,,
HfMg,mp-1094183,1.78 ,17.23 ,,,,
YZn3,mp-30884,2.48 ,17.33 ,,,,
CaMg2,mp-2432,1.82 ,17.37 ,,,,
Mn2Ge,mp-1008920,3.09 ,17.41 ,,,,
Ta5Ge3,mp-17593,6.86 ,17.43 ,,,,
TiCo2,mp-1191422,4.84 ,17.55 ,,,,
VSb,mp-7821,4.03 ,17.64 ,,,,
MgTi2,mp-1094380,3.55 ,17.66 ,,,,
CaMg,mp-1039439,1.78 ,17.70 ,,,,
GePd2,mp-423,4.42 ,17.75 ,,,,
SrZn,mp-12724,1.74 ,17.89 ,,,,
ZrGa3,mp-1080001,4.17 ,18.25 ,,,,
Sn2Pd,mp-1573,3.78 ,18.28 ,,,,
Mn3Tl,mp-972987,2.13 ,18.42 ,,,,
In3Pt2,mp-1069815,4.34 ,18.54 ,,,,
Ba3Sb,mp-1183295,2.60 ,18.61 ,,,,
AlCu4,mp-1182885,3.59 ,18.72 ,,,,
BaPt2,mp-747,5.24 ,18.72 ,,,,
CaAl4,mp-1749,3.31 ,18.99 ,,,,
Ti2Co,mp-1191331,4.96 ,19.23 ,,,,
Zr5Bi3,mp-1207392,5.05 ,19.26 ,,,,
Ti3Rh5,mp-17413,6.16 ,19.32 ,,,,
YMg2,mp-1094403,2.52 ,19.38 ,,,,
K2Re,mp-1181016,1.76 ,19.40 ,,,,
BaSn3,mp-7759,3.29 ,19.69 ,,,,
Ca3Mg,mp-1039230,1.92 ,19.73 ,,,,
Zr2Al3,mp-1482,5.06 ,19.99 ,,,,
CaAu5,mp-568920,3.94 ,20.00 ,,,,
Ti5Ga3,mp-1188153,4.49 ,20.06 ,,,,
Na3Cd,mp-983509,1.18 ,20.31 ,,,,
In3Pt5,mp-1224042,4.89 ,20.42 ,,,,
Al3Ru2,mp-1069983,5.16 ,20.45 ,,,,
Hf4Al3,mp-1025223,5.53 ,20.55 ,,,,
Zr2Ga3,mp-30686,4.80 ,20.67 ,,,,
NaY3,mp-1186191,3.25 ,21.17 ,,,,
Ti5Al11,mp-1217111,4.25 ,21.23 ,,,,
K3Tl,mp-974641,1.18 ,21.37 ,,,,
SbRh,mp-20619,4.73 ,21.62 ,,,,
RbMg3,mp-975110,1.10 ,21.90 ,,,,
K3Ba,mp-1184910,1.10 ,21.94 ,,,,
Na3Zr,mp-1186104,1.63 ,22.09 ,,,,
Zr3Zn2,mp-1207421,4.48 ,22.30 ,,,,
Y2Mg,mp-1094526,3.39 ,22.72 ,,,,
K3Na,mp-1184919,0.99 ,23.10 ,,,,
Sr3W,mp-1187144,2.41 ,23.19 ,,,,
Y2Mg,mp-1094531,3.45 ,23.33 ,,,,
Al4Cu9,mp-593,3.67 ,23.33 ,,,,
Co3Sn2,mp-1190274,3.90 ,23.82 ,,,,
In3Pt4,mp-1224298,4.88 ,24.07 ,,,,
MgTi3,mp-1094905,3.87 ,24.29 ,,,,
Mo3Os2,mp-1221719,7.35 ,24.44 ,,,,
Sr3Bi,mp-972249,2.26 ,24.50 ,,,,
Tl3V,mp-981210,2.08 ,24.60 ,,,,
K3Be,mp-1184861,0.92 ,24.84 ,,,,
Rb3Y,mp-974732,1.11 ,24.94 ,,,,
Li3Ga7,mp-567306,2.66 ,24.97 ,,,,
CoSn3,mp-1183777,3.51 ,25.70 ,,,,
RbMg,mp-1186894,0.98 ,25.84 ,,,,
Sr3Ti,mp-1187142,1.98 ,25.93 ,,,,
K3Cd,mp-983062,1.00 ,26.21 ,,,,
Rb3Tl,mp-974739,1.04 ,26.27 ,,,,
Co3Ni,mp-1183837,4.43 ,26.29 ,,,,
Sn2Au,mp-1462,3.51 ,26.44 ,,,,
Sc5Ga3,mp-17332,4.00 ,26.72 ,,,,
Zr3Rh5,mp-2626,6.74 ,26.89 ,,,,
Ta2Sn3,mp-1218088,4.79 ,26.95 ,,,,
CaSn,mp-2450,3.24 ,27.11 ,,,,
K2Au3,mp-8700,3.02 ,27.59 ,,,,
Rb3Sr,mp-974799,0.94 ,27.66 ,,,,
K3Ta,mp-1185022,1.34 ,28.02 ,,,,
Ca5Pt2,mp-1103570,3.85 ,28.46 ,,,,
HfZn,mp-1014219,4.09 ,28.55 ,,,,
K3Zn,mp-1185029,0.92 ,28.86 ,,,,
Ta3Os2,mp-1218177,8.47 ,29.15 ,,,,
K3Hf,mp-1184923,1.21 ,30.18 ,,,,
MgBi,mp-1095012,1.98 ,31.16 ,,,,
Rb3Re,mp-1065428,1.07 ,31.46 ,,,,
Ba2Y,mp-1228459,2.43 ,32.14 ,,,,
Rb3Mg,mp-974940,0.84 ,32.41 ,,,,
CoSn2,mp-20155,3.62 ,32.61 ,,,,
K3V,mp-973444,1.19 ,32.75 ,,,,
Y3Ir,mp-1207785,5.59 ,32.79 ,,,,
SrAu,mp-30420,3.55 ,33.07 ,,,,
BaCd2,mp-11266,1.75 ,34.15 ,,,,
Nb5Ge3,mp-17910,6.60 ,34.25 ,,,,
Hf3Ge,mp-1202616,6.26 ,34.74 ,,,,
Sc2Au,mp-1209057,4.53 ,37.42 ,,,,
SnSb,mp-1179352,2.87 ,38.99 ,,,,
Y3Al2,mp-16723,4.34 ,40.36 ,,,,
Sr7Au3,mp-30422,2.88 ,41.07 ,,,,
Y3Co,mp-1105598,4.53 ,43.26 ,,,,
Ga5Rh3,mp-30923,4.53 ,44.27 ,,,,
Mg2Cu,mp-2481,2.29 ,46.72 ,,,,
RbGa7,mp-1460,2.67 ,47.24 ,,,,
HfPd3,mp-1007656,5.40 ,47.67 ,,,,
Ba5Ga6,mp-1361615,2.79 ,48.86 ,,,,
Sr7Ge6,mp-1198122,3.30 ,51.44 ,,,,
Y3Ni,mp-1105633,4.64 ,53.57 ,,,,S
Rb3Pb,mp-974832,1.15 ,55.46 ,,,,
In2Pt3,mp-510439,5.01 ,55.52 ,,,,
TaAl3,mp-869,4.88 ,59.06 ,,,,
Rb3Co,mp-975050,0.88 ,59.47 ,,,,
