material_id,formula_pretty,band_gap,bulk_modulus,cbm,composition,density,density_atomic,dos_energy_down,dos_energy_up,e_electronic,e_ij_max,e_ionic,e_total,efermi,energy_above_hull,energy_per_atom,equilibrium_reaction_energy_per_atom,es_source_calc_id,formation_energy_per_atom,grain_boundaries,has_reconstructed,homogeneous_poisson,is_gap_direct,is_magnetic,is_metal,is_stable,n,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,ordering,shape_factor,shear_modulus,surface_anisotropy,symmetry,task_ids,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,universal_anisotropy,vbm,volume,weighted_surface_energy,weighted_surface_energy_EV_PER_ANG2,weighted_work_function
mp-1677,Be2Mo,0.0,"{'voigt': 197.618, 'reuss': 197.577, 'vrh': 197.598}",,Be8 Mo4,6.077583053523648,10.379250926759124,,,,,,,5.87645317,0.0,-6.428075105833332,-0.2276133008333332,,-0.3199164924999991,,,0.199,False,False,True,True,,2,12,0.0,0.0,NM,,"{'voigt': 149.182, 'reuss': 148.648, 'vrh': 148.915}",,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='2.0.2',"[MPID(mp-1601169), MPID(mp-2488824), MPID(mp-2704702), MPID(mp-2026021), MPID(mp-2723381), MPID(mp-1101853), MPID(mp-2723263), MPID(mp-2704706), MPID(mp-929991), MPID(mp-2723412), MPID(mp-2270665), MPID(mp-2488833), MPID(mp-2712258), MPID(mp-2723297), MPID(mp-2278321), MPID(mp-1677), MPID(mp-2704684), MPID(mp-2488646), MPID(mp-2488748), MPID(mp-913637), MPID(mp-1921197), MPID(mp-2723271), MPID(mp-2488703), MPID(mp-2272426), MPID(mp-2050958), MPID(mp-2185152), MPID(mp-2488661), MPID(mp-1537781), MPID(mp-2723258), MPID(mp-930502), MPID(mp-2723435), MPID(mp-2704727), MPID(mp-1697119), MPID(mp-1420051), MPID(mp-2488705), MPID(mp-2488696)]",False,0.0,0.0,0.0,-11.917332040833335,0.018,,124.55101112110948,,,
mp-1687,BaPd2,0.0,"{'voigt': 73.421, 'reuss': 73.421, 'vrh': 73.421}",,Ba2 Pd4,8.874429847746226,21.8405010541529,,,,,,,4.22783624,0.0,-4.670703435,-0.13364078333333396,,-0.5777905816666659,,,0.35,False,False,True,True,,2,6,0.0,0.0,NM,,"{'voigt': 25.599, 'reuss': 23.176, 'vrh': 24.388}",,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fd-3m' number=227 point_group='m-3m' symprec=0.1 version='2.0.2',"[MPID(mp-2285868), MPID(mp-1943067), MPID(mp-1943127), MPID(mp-2287167), MPID(mp-1703760), MPID(mp-2488751), MPID(mp-941376), MPID(mp-2190182), MPID(mp-2287680), MPID(mp-934518), MPID(mp-2723316), MPID(mp-2488726), MPID(mp-941063), MPID(mp-1687), MPID(mp-2638897), MPID(mp-1434586), MPID(mp-2488786), MPID(mp-2450050), MPID(mp-1593949), MPID(mp-1786742), MPID(mp-1538539), MPID(mp-2723451), MPID(mp-2704722)]",False,1.2e-06,6e-07,9.157299070387885e-09,-24.715815841666668,0.523,,131.0430063249174,,,
mp-1699,AlCr2,0.0,"{'voigt': 184.35, 'reuss': 182.359, 'vrh': 183.355}",,Al1 Cr2,5.870884090603154,12.3483394941069,,,,,,,7.62680443,0.10482433666666502,-12.257717873333334,,,0.03520982999999944,,,0.265,False,False,True,False,,2,3,0.0,0.0,NM,,"{'voigt': 103.155, 'reuss': 101.483, 'vrh': 102.319}",,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='2.0.2',"[MPID(mp-2411560), MPID(mp-2557452), MPID(mp-1439918), MPID(mp-1257576), MPID(mp-1256308), MPID(mp-1791106), MPID(mp-1699), MPID(mp-2293187), MPID(mp-2295211), MPID(mp-1947231), MPID(mp-2411562), MPID(mp-1591635), MPID(mp-2411547), MPID(mp-2709866), MPID(mp-1948121), MPID(mp-2296762), MPID(mp-2726964), MPID(mp-2411490), MPID(mp-2655466), MPID(mp-2411557), MPID(mp-2343890), MPID(mp-2726984), MPID(mp-2709837), MPID(mp-1265898), MPID(mp-2185341), MPID(mp-2411486), MPID(mp-1536348), MPID(mp-2726949)]",False,6.3e-06,6.3e-06,1.7006335151395864e-07,-12.257717873333334,0.093,,37.0450184823207,,,
mp-1730,BaGe,0.0,"{'voigt': 30.709, 'reuss': 29.902, 'vrh': 30.305}",,Ba2 Ge2,5.210420503436001,33.457799228188975,,,,,,,3.48977955,0.0,-3.8672272099999994,-0.04967233324999887,,-0.5962258124999993,,,0.25,False,False,True,True,,2,4,0.0,0.0,NM,,"{'voigt': 19.559, 'reuss': 16.856, 'vrh': 18.207}",,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Cmcm' number=63 point_group='mmm' symprec=0.1 version='2.0.2',"[MPID(mp-1538494), MPID(mp-2354456), MPID(mp-2354407), MPID(mp-2354368), MPID(mp-2354217), MPID(mp-1953078), MPID(mp-1957299), MPID(mp-2354248), MPID(mp-2295987), MPID(mp-2291944), MPID(mp-2342264), MPID(mp-2354426), MPID(mp-2354559), MPID(mp-1730), MPID(mp-2354618), MPID(mp-927198), MPID(mp-2354255), MPID(mp-2354347), MPID(mp-2186351), MPID(mp-2354215), MPID(mp-1699169), MPID(mp-1591999), MPID(mp-2354275), MPID(mp-2354482), MPID(mp-1441892), MPID(mp-2354522), MPID(mp-1866066), MPID(mp-2354480), MPID(mp-2354259), MPID(mp-911111), MPID(mp-2354304), MPID(mp-2354274), MPID(mp-2354640), MPID(mp-926680), MPID(mp-2295550)]",False,1e-07,5e-08,7.472099354023535e-10,-20.8442040725,0.829,,133.8311969127559,,,
mp-1749,CaAl4,0.0,"{'voigt': 57.285, 'reuss': 55.288, 'vrh': 56.287}",,Ca1 Al4,2.3469562543861415,20.94343939653701,,,,,,,5.64549373,0.0,-7.013919538000001,-0.007356111000000887,,-0.22058213399999999,,,0.444,False,False,True,True,,2,5,0.0,0.0,NM,,"{'voigt': 13.441, 'reuss': -0.264, 'vrh': 6.588}",,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='2.0.2',"[MPID(mp-2488731), MPID(mp-2723364), MPID(mp-2187756), MPID(mp-2638931), MPID(mp-1955358), MPID(mp-919617), MPID(mp-2297558), MPID(mp-2488722), MPID(mp-1595986), MPID(mp-2488747), MPID(mp-2704717), MPID(mp-2723382), MPID(mp-1441830), MPID(mp-918643), MPID(mp-1257256), MPID(mp-2723457), MPID(mp-1253184), MPID(mp-2292526), MPID(mp-1797023), MPID(mp-905554), MPID(mp-2704705), MPID(mp-2291770), MPID(mp-1749), MPID(mp-2723430), MPID(mp-1953766), MPID(mp-1695347), MPID(mp-2723393), MPID(mp-2723257), MPID(mp-2704714), MPID(mp-1265642), MPID(mp-2686676)]",False,5e-07,5e-07,4.774764932665976e-09,-7.013919538000001,-259.129,,104.71719698268505,,,
mp-1791,Al5Rh2,0.0,"{'voigt': 131.338, 'reuss': 131.023, 'vrh': 131.181}",,Al20 Rh8,5.349804865062312,15.10807309045927,,,,,,,8.05435312,0.0,-12.511268666428572,-0.06916381897959134,,-0.8065616792857132,,,0.253,False,False,True,True,,2,28,0.0,0.0,NM,,"{'voigt': 77.976, 'reuss': 77.16, 'vrh': 77.568}",,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='2.0.2',"[MPID(mp-2419938), MPID(mp-2419101), MPID(mp-1256526), MPID(mp-2419903), MPID(mp-940263), MPID(mp-2418947), MPID(mp-1256213), MPID(mp-2419164), MPID(mp-1615153), MPID(mp-940682), MPID(mp-932033), MPID(mp-2419858), MPID(mp-2419127), MPID(mp-2418965), MPID(mp-2026489), MPID(mp-2419867), MPID(mp-1791), MPID(mp-1820783), MPID(mp-2503888), MPID(mp-1759051), MPID(mp-2503911), MPID(mp-2419162), MPID(mp-2419882), MPID(mp-1544085), MPID(mp-2419113), MPID(mp-2050741), MPID(mp-2335661), MPID(mp-2419138), MPID(mp-1383539), MPID(mp-2417312), MPID(mp-2419097), MPID(mp-1255649), MPID(mp-2165540), MPID(mp-2419128), MPID(mp-2418968)]",False,1e-07,2.5e-08,2.3639206337199445e-10,-12.511268666428572,0.055,,423.02604653285954,,,
mp-1813,Ba2Mg17,0.0,,,Ba2 Mg17,2.269625348553326,26.486716287410083,,,,,,,2.77710655,0.0,-1.6904387663157896,-0.004014962807017852,,-0.029599811842105226,,,,False,False,True,True,,2,19,0.0,0.0,NM,,,,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3m' number=166 point_group='-3m' symprec=0.1 version='2.0.2',"[MPID(mp-2022963), MPID(mp-978176), MPID(mp-1544148), MPID(mp-1421932), MPID(mp-977929), MPID(mp-1813), MPID(mp-914560), MPID(mp-1672905), MPID(mp-2021410), MPID(mp-1826530)]",False,2.9e-06,2.9e-06,5.762570840837629e-09,-6.574801656315789,,,503.2476094607916,,,
mp-1814,BaAg5,0.0,"{'voigt': 54.035, 'reuss': 50.515, 'vrh': 52.275}",,Ba1 Ag5,8.20275388423451,22.83041494307753,,,,,,,2.75492064,0.0,-2.843946691666666,-0.010906379166664593,,-0.15500280305555356,,,0.423,False,False,True,True,,2,6,0.0,0.0,NM,,"{'voigt': 9.732, 'reuss': 7.173, 'vrh': 8.453}",,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6/mmm' number=191 point_group='6/mmm' symprec=0.1 version='2.0.2',"[MPID(mp-2120284), MPID(mp-2354369), MPID(mp-2285724), MPID(mp-1434368), MPID(mp-2354422), MPID(mp-991636), MPID(mp-2354543), MPID(mp-1695503), MPID(mp-2354292), MPID(mp-2354319), MPID(mp-2354452), MPID(mp-2354486), MPID(mp-2432344), MPID(mp-2354603), MPID(mp-2354604), MPID(mp-1814), MPID(mp-2246576), MPID(mp-2354495), MPID(mp-2028480), MPID(mp-2354258), MPID(mp-2354530), MPID(mp-2354572), MPID(mp-2354332), MPID(mp-993553), MPID(mp-1943262), MPID(mp-2354654), MPID(mp-2359595), MPID(mp-994857), MPID(mp-1930674), MPID(mp-1588573), MPID(mp-2292781), MPID(mp-2354436), MPID(mp-2354492), MPID(mp-2024435), MPID(mp-1536441), MPID(mp-2354225)]",False,1e-07,1e-07,7.300203131752632e-10,-22.358186966666665,1.854,,136.98248965846517,,,
mp-1845,CaBe13,0.0,,,Ca2 Be26,1.9309851064298278,9.658176454073331,,,,,,,3.9080229,0.0,-3.7135454260714282,-0.09797634571428526,,-0.09797634571428608,,,,False,False,True,True,,2,28,0.0,0.0,NM,,,,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3c' number=226 point_group='m-3m' symprec=0.1 version='2.0.2',"[MPID(mp-941083), MPID(mp-2022104), MPID(mp-1845), MPID(mp-2429822), MPID(mp-941397), MPID(mp-1673243), MPID(mp-2048652), MPID(mp-1607097), MPID(mp-1543904), MPID(mp-2169245), MPID(mp-934569), MPID(mp-1418665)]",False,1e-07,5e-08,3.6978290761319886e-10,-4.634002896428571,,,270.4289407140533,,,
mp-1882,CaCu5,0.0,"{'voigt': 91.186, 'reuss': 89.373, 'vrh': 90.279}",,Ca1 Cu5,6.7080430315084385,14.762232928222714,,,,,,,5.55275908,0.0,-10.322148926666666,-0.07446678266666495,,-0.11010331000000069,,,0.32,False,False,True,True,,2,6,0.0,0.0,NM,,"{'voigt': 37.227, 'reuss': 36.471, 'vrh': 36.849}",,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6/mmm' number=191 point_group='6/mmm' symprec=0.1 version='2.0.2',"[MPID(mp-2488647), MPID(mp-2723458), MPID(mp-991403), MPID(mp-1882), MPID(mp-2488758), MPID(mp-2027954), MPID(mp-2723379), MPID(mp-2488682), MPID(mp-2488769), MPID(mp-2723459), MPID(mp-2638933), MPID(mp-1076976), MPID(mp-993370), MPID(mp-2723343), MPID(mp-1589122), MPID(mp-2704730), MPID(mp-2638956), MPID(mp-2488734), MPID(mp-2188323), MPID(mp-2449656), MPID(mp-1538150), MPID(mp-1797449), MPID(mp-2488685), MPID(mp-2723273), MPID(mp-2266355), MPID(mp-2028382), MPID(mp-994693), MPID(mp-2723270), MPID(mp-2723374), MPID(mp-1439791), MPID(mp-2704697), MPID(mp-2706495), MPID(mp-2704695), MPID(mp-2283770), MPID(mp-1943650), MPID(mp-2278487)]",False,0.0,0.0,0.0,-10.322148926666666,0.124,,88.57339756933628,,,
