Seed,MAE,Param
0,0.55266783434587,"{'alpha': 0.05675135796901998, 'length_scale': 401139.49401099875}"
1,0.176674139889972,"{'alpha': 0.1027535323729697, 'length_scale': 1.3648854170026954}"
2,0.13077620094029294,"{'alpha': 0.05147301572758062, 'length_scale': 22.95856293795036}"
3,0.15491495843202316,"{'alpha': 0.0639947424557793, 'length_scale': 0.2682917070567023}"
4,0.16718269894508359,"{'alpha': 0.08654924908786904, 'length_scale': 36.75571001051356}"
5,0.2258341413540145,"{'alpha': 0.20542894847141602, 'length_scale': 5.915961289281582}"
6,0.1389938592897767,"{'alpha': 0.05897418608847188, 'length_scale': 5.448207996828834}"
7,0.1638061673107153,"{'alpha': 0.07883912928974007, 'length_scale': 39.763620879152406}"
8,0.13517295737537494,"{'alpha': 0.0524907749032657, 'length_scale': 10.30908275428488}"
9,0.1609605628161019,"{'alpha': 0.08313865321805647, 'length_scale': 50.83308567431531}"
