Seed,MAE,Param
0,-0.3255678863097614,"{'alpha': 1.1045220194379148, 'length_scale': 8214.029777170581}"
1,-0.38045990660884565,"{'alpha': 0.6266051151160363, 'length_scale': 5.272026259874252}"
2,-0.3126863624636418,"{'alpha': 0.3777684609929966, 'length_scale': 4984.238348881728}"
3,-0.38340596760642975,"{'alpha': 1.1572723250069172, 'length_scale': 4508.776304408111}"
4,-0.2045345939540525,"{'alpha': 0.5178012725959249, 'length_scale': 1.4125510368354652}"
5,-0.5913311394238365,"{'alpha': 1.0144755128835536, 'length_scale': 1.091763145503287}"
6,-0.3736817826827301,"{'alpha': 0.9699508821547068, 'length_scale': 927.9563846004924}"
7,-0.0707299803664706,"{'alpha': 0.7689423222195656, 'length_scale': 868.795130907126}"
8,-0.39245364048879117,"{'alpha': 0.5762270976619804, 'length_scale': 23501.85006999372}"
9,-0.19312956203322484,"{'alpha': 1.0723917008770911, 'length_scale': 1.1217501273868042}"
10,-0.09178602324086682,"{'alpha': 1.8110561215204708, 'length_scale': 0.3269592773577544}"
11,-0.23291969832066528,"{'alpha': 0.7941541672903399, 'length_scale': 2986.378527432573}"
12,-0.268321147277204,"{'alpha': 0.7930272341933572, 'length_scale': 0.0640719224636462}"
13,-0.5682938979904283,"{'alpha': 0.5608325901815263, 'length_scale': 98.72325886588739}"
14,-0.522679355411452,"{'alpha': 0.5686248000105627, 'length_scale': 0.1628529570216431}"
15,-0.23709376145084926,"{'alpha': 1.2787081720920839, 'length_scale': 93.42510265739618}"
16,-0.6296725539537767,"{'alpha': 0.41605626192066725, 'length_scale': 2857.3812199109484}"
17,-0.2590824265822754,"{'alpha': 1.5069396817582354, 'length_scale': 110.60453783833178}"
18,-0.15431045278280453,"{'alpha': 0.8894294410431626, 'length_scale': 6859.703739716016}"
19,-0.28945546357518026,"{'alpha': 0.675814451535534, 'length_scale': 831.7187759120384}"
20,-0.11284754327351654,"{'alpha': 1.7866286008349563, 'length_scale': 36.99170810976867}"
21,-0.30041862996600155,"{'alpha': 1.293648851858439, 'length_scale': 1509.0461669218807}"
22,-0.485485497496819,"{'alpha': 0.7038723825338058, 'length_scale': 3.1795510383130554}"
23,-0.40020357768710324,"{'alpha': 1.1707403527178455, 'length_scale': 21.562122008078422}"
24,-0.29939091635190573,"{'alpha': 0.8517014949925696, 'length_scale': 173.96907923684012}"
25,-0.21157316122564962,"{'alpha': 0.6746057837520494, 'length_scale': 1456.606575317504}"
26,-0.25966427633449896,"{'alpha': 1.1673800319604015, 'length_scale': 1.4329190946656083}"
27,-0.6131451839958308,"{'alpha': 0.6883257683356017, 'length_scale': 160.81059979664613}"
28,-0.29314964589389414,"{'alpha': 0.9543905917907224, 'length_scale': 0.8869683019477818}"
29,-0.4177318433099797,"{'alpha': 0.5219447283507823, 'length_scale': 1.737021127694124}"
30,-0.5258869713425207,"{'alpha': 0.8693837509897013, 'length_scale': 270.4823883814875}"
31,-0.30134326950732493,"{'alpha': 1.437839629758306, 'length_scale': 0.1356115890033393}"
32,-0.16915704723726732,"{'alpha': 1.3710641331097229, 'length_scale': 20387.82603657301}"
