Seed,MAE,Param
0,0.2921012765217151,{'alpha': 0.004528769697518007}
1,0.29031941135566347,{'alpha': 0.002789140059773413}
2,0.2908279002806443,{'alpha': 0.0020817545383144146}
3,0.29160083208526827,{'alpha': 0.003229021853808124}
4,0.2885160946691965,{'alpha': 0.002527516688994227}
5,0.29190809190304867,{'alpha': 0.0019395779252639868}
6,0.2892958676656708,{'alpha': 0.004833370638370626}
7,0.28895301744685703,{'alpha': 0.004913189555480811}
8,0.29092382178249143,{'alpha': 0.004910649083244373}
9,0.29238170731496554,{'alpha': 0.0038118105293531873}
10,0.2904081376200434,{'alpha': 0.003970626908819202}
11,0.28936654330999456,{'alpha': 0.004240400306032964}
12,0.29151020393729216,{'alpha': 0.004613930106890772}
13,0.2880175980210659,{'alpha': 0.0016962373413916048}
14,0.2923352963096047,{'alpha': 0.0024598417741702764}
15,0.2906841391775198,{'alpha': 0.0026763587595501855}
16,0.29061062324508063,{'alpha': 0.003851337417755167}
17,0.29091164275954506,{'alpha': 0.0025284167131132238}
18,0.2886909674316281,{'alpha': 0.004666397881373497}
19,0.28749475699672616,{'alpha': 0.005382931662028123}
20,0.29174253853933574,{'alpha': 0.0008852643307336155}
21,0.28755374867027517,{'alpha': 0.00211515483267193}
22,0.289494620248503,{'alpha': 0.0026818829085898744}
23,0.2933689255289888,{'alpha': 0.002393094046761829}
24,0.2892727154362017,{'alpha': 0.002220766340174511}
25,0.28777607394342014,{'alpha': 0.0029554650261316676}
26,0.28831699598409055,{'alpha': 0.004094389085434122}
27,0.2886618225999054,{'alpha': 0.0035953054875695876}
28,0.2898213420475292,{'alpha': 0.0028328272140766574}
29,0.2887693795499269,{'alpha': 0.004781607779586044}
30,0.2917626659384597,{'alpha': 0.004563174636832673}
31,0.291651547421063,{'alpha': 0.003155468933580388}
32,0.28966556819266875,{'alpha': 0.0029521270389439884}
33,0.28885552109349466,{'alpha': 0.0006181222387283685}
34,0.2883833043104962,{'alpha': 0.002726952626873895}
35,0.28895005263495405,{'alpha': 0.0037975474657547695}
36,0.2903466370045367,{'alpha': 0.004078237341591485}
37,0.2881686366875693,{'alpha': 0.002707838544332658}
38,0.2904510775304567,{'alpha': 0.004375921865432532}
39,0.29287282774935053,{'alpha': 0.002953723198543913}
40,0.29194625798809243,{'alpha': 0.0009919364481204187}
41,0.29106894791536414,{'alpha': 0.0025683609087678674}
42,0.29179238152130105,{'alpha': 0.0049634343264894475}
43,0.29198643925768053,{'alpha': 0.001056305148123092}
44,0.29204893042391866,{'alpha': 0.005072217829742318}
45,0.2905254613047776,{'alpha': 0.002661936538824558}
46,0.2901055479885263,{'alpha': 0.0033281134528996984}
47,0.28876881663384707,{'alpha': 0.0020201070447356615}
48,0.2874859058100917,{'alpha': 0.0053890678033098926}
49,0.29048516159215104,{'alpha': 0.004675190246409887}
50,0.2927291812966277,{'alpha': 0.002863409478861222}
51,0.2888931083941344,{'alpha': 0.003683425406447488}
52,0.2932586008330547,{'alpha': 0.0016644324899053003}
53,0.28821740774987953,{'alpha': 0.003916759663128621}
54,0.29108367432306065,{'alpha': 0.0028523889136018014}
55,0.2895197364735465,{'alpha': 0.003100883455569563}
56,0.29019251313166455,{'alpha': 0.0029036094823053226}
57,0.28975874985028055,{'alpha': 0.0022546057459614023}
58,0.291247280893715,{'alpha': 0.005136832593514005}
59,0.29137647927855714,{'alpha': 0.003458764527081846}
60,0.2892905493834091,{'alpha': 0.0033710767569262727}
61,0.28837571366965115,{'alpha': 0.0022907509256146047}
62,0.29024509323729647,{'alpha': 0.004513478414936071}
63,0.28926098489142904,{'alpha': 0.0034277962936127013}
64,0.29145943391232937,{'alpha': 0.001878977761415997}
65,0.29084243560064243,{'alpha': 0.004251958668295113}
66,0.28862212112880614,{'alpha': 0.003124710674606357}
67,0.29189116938639503,{'alpha': 0.00325616835077204}
68,0.29165782550557323,{'alpha': 0.003034439010035005}
69,0.29108584717611485,{'alpha': 0.0018454140140820895}
70,0.29156389336294664,{'alpha': 0.004485163726787849}
71,0.28951337019997614,{'alpha': 0.0042317844602899396}
72,0.2890662037591644,{'alpha': 0.00520820215250536}
73,0.2920871046520472,{'alpha': 0.0034121503939390976}
74,0.2918780692969843,{'alpha': 0.004243313682943257}
75,0.28949347702401124,{'alpha': 0.004341003312217283}
76,0.2896230332242273,{'alpha': 0.00521562354744228}
77,0.29122102737359834,{'alpha': 0.0031082088729084637}
78,0.2924573105804247,{'alpha': 0.0008278129118098771}
79,0.288345623236675,{'alpha': 0.0019035071105579652}
80,0.29113466404991634,{'alpha': 0.003218896894982741}
81,0.2922619291069859,{'alpha': 0.0011793874445440822}
