Seed,MAE,Param
0,3.9834874841230756,{'alpha': 0.08735286556802056}
1,3.9482651055236375,{'alpha': 0.015103745653412364}
2,3.944132070580555,{'alpha': 0.030155364294802246}
3,3.949595323488499,{'alpha': 0.043939911908444367}
4,3.936544016446429,{'alpha': 0.05316160957247865}
5,3.9510650375537577,{'alpha': 0.05044850338322388}
6,3.9375200371755112,{'alpha': 0.07232706478135471}
7,3.9107118125864706,{'alpha': 0.011067885420424037}
8,3.9937851050794175,{'alpha': 0.06639465484877641}
9,3.9713199624834443,{'alpha': 0.04512701433416827}
10,3.917883399157994,{'alpha': 0.05322159621527521}
11,3.9381966991928694,{'alpha': 0.020021530137577254}
12,4.005636621092254,{'alpha': 0.05380127413155566}
13,4.008481712312499,{'alpha': 0.018766032735114093}
14,3.932250252116732,{'alpha': 0.01952344958019711}
15,3.9209673039495088,{'alpha': 0.03315570601471679}
16,3.9233387339079755,{'alpha': 0.008074600108535075}
17,3.924544964711167,{'alpha': 0.023558071857029437}
18,3.855282770966029,{'alpha': 0.05713330366411631}
19,4.009167692230468,{'alpha': 0.09100960949565985}
20,3.9562284876053027,{'alpha': 0.07846143862477374}
21,3.9950421690306017,{'alpha': 0.05978997642108231}
22,3.9145631218457244,{'alpha': 0.011289224528642679}
23,3.9546339827359716,{'alpha': 0.07005222106355544}
24,3.959733938760912,{'alpha': 0.04216362982777941}
25,3.967690658860566,{'alpha': 0.056823044165934936}
26,3.9246634649606036,{'alpha': 0.07821582658038755}
27,3.9442107108853177,{'alpha': 0.010321981471365791}
28,3.8945009485631163,{'alpha': 0.0817136024075999}
29,3.989796105565724,{'alpha': 0.0029538595449088976}
30,3.9663647273934,{'alpha': 0.017347093184185505}
31,4.003635276155564,{'alpha': 0.09092472121208646}
32,3.910260779344023,{'alpha': 0.018435332573552714}
33,3.9562154112879724,{'alpha': 0.038206844999853315}
34,3.8800393667507156,{'alpha': 0.01717314589122471}
35,3.9698873432161035,{'alpha': 0.02594128449784127}
36,4.029067295032636,{'alpha': 0.02710798763123315}
37,3.976455338804446,{'alpha': 0.03213410595769446}
38,3.974898175965454,{'alpha': 0.0379399644702212}
39,3.9551803402657346,{'alpha': 0.016201530343150167}
40,3.9804162081631844,{'alpha': 0.07455731064464552}
41,3.975351336262452,{'alpha': 0.07747781558897196}
42,3.9767057850471654,{'alpha': 0.011964670427569275}
43,4.001320618352836,{'alpha': 0.09062700148699132}
44,4.009805166083077,{'alpha': 0.08139018782315965}
45,3.9628750881895995,{'alpha': 0.028212005669791176}
46,3.9221632917267537,{'alpha': 0.017088850906988053}
47,4.00842339194542,{'alpha': 0.03215308646422386}
48,3.9733235929126725,{'alpha': 0.041563337656593854}
49,3.9533939338311215,{'alpha': 0.01948546808736259}
50,3.926863596506399,{'alpha': 0.06556185657096336}
51,3.996749654366299,{'alpha': 0.09490344987574731}
52,3.886352159835955,{'alpha': 0.02577742732738437}
53,3.8920246624314117,{'alpha': 0.0034671076380130552}
54,3.906289931004109,{'alpha': 0.09469948427681747}
55,3.9768242168334003,{'alpha': 0.004413402583744425}
56,3.942787771203616,{'alpha': 0.005772107252279532}
57,3.982700181288914,{'alpha': 0.0753414165209703}
58,3.8436940762937017,{'alpha': 0.02487866487907299}
59,3.9117698687535065,{'alpha': 0.03144630215395185}
60,3.9179898022512862,{'alpha': 0.043140291962809975}
61,3.9851616107242838,{'alpha': 0.009930921851598298}
62,3.9004694830329356,{'alpha': 0.03469070874632103}
63,3.9686348364320025,{'alpha': 0.05409223502350683}
64,3.970133985759461,{'alpha': 0.028952864801256466}
65,3.9302813114220045,{'alpha': 0.023401811608633354}
66,3.902926118547282,{'alpha': 0.027485405558714718}
67,3.9381269678824045,{'alpha': 0.08412541563895394}
68,3.895911355889584,{'alpha': 0.009547903683744922}
69,3.932170562210764,{'alpha': 0.09069181091583166}
70,3.916450054209358,{'alpha': 0.010891802263702673}
71,3.9871538658886836,{'alpha': 0.0830276087452028}
72,3.9157638308294143,{'alpha': 0.02433154125075221}
73,3.9385766606266417,{'alpha': 0.05367305593344343}
74,3.9848159993120515,{'alpha': 0.06132952596769998}
75,4.003818247016024,{'alpha': 0.06227282146055383}
76,4.04025858603577,{'alpha': 0.11036391687640854}
77,3.9672239897765205,{'alpha': 0.023954258158031656}
78,3.9585536906739525,{'alpha': 0.022978741773756237}
79,3.884279538334037,{'alpha': 0.03312834528482698}
80,3.916721580748542,{'alpha': 0.05807785833157959}
81,3.9289985001308465,{'alpha': 0.10731577881240405}
82,3.9568882440263993,{'alpha': 0.022570931262278392}
83,4.0078262297289635,{'alpha': 0.09336984092069296}
84,3.9601184652857953,{'alpha': 0.012105925177649586}
85,3.907828777989832,{'alpha': 0.019405428506198672}
86,3.966061960936244,{'alpha': 0.03213115172010977}
87,4.023572028859015,{'alpha': 0.02096448101340555}
88,3.931645833823954,{'alpha': 0.04047389224532764}
89,3.9415315211371276,{'alpha': 0.10346098633528758}
90,3.9601380160315616,{'alpha': 0.046792223643064214}
91,3.9465816196155306,{'alpha': 0.07053475494156193}
92,3.9787533201838006,{'alpha': 0.026722875135289637}
93,3.9748082216162373,{'alpha': 0.08688347000958833}
94,3.9778691203712735,{'alpha': 0.10930006893249763}
95,3.951525900214419,{'alpha': 0.047187636752230915}
96,3.9158669084806417,{'alpha': 0.07185912891813005}
97,3.9080131072115454,{'alpha': 0.027290039342249398}
98,4.042781018592749,{'alpha': 0.021951932012042204}
99,4.000623906919477,{'alpha': 0.019071691914627452}
100,4.010536227310233,{'alpha': 0.07796615228463895}
101,3.9702926760310775,{'alpha': 0.11380365453091021}
102,4.029592925328267,{'alpha': 0.01782791751980674}
103,3.892799832231526,{'alpha': 0.05077524260627619}
104,3.9146538808668576,{'alpha': 0.052412825175243725}
105,3.8940256826237984,{'alpha': 0.019152899029370292}
106,3.987960345484507,{'alpha': 0.033796871059448466}
107,3.976828744368307,{'alpha': 0.09503124626085488}
108,4.066609426763085,{'alpha': 0.024722835464909533}
109,3.9720216407712514,{'alpha': 0.017087385389566025}
110,3.925726720522424,{'alpha': 0.05273019416312439}
111,3.925228019946152,{'alpha': 0.03119550851007066}
112,3.9913119436580984,{'alpha': 0.08257970763623013}
113,3.919515597601503,{'alpha': 0.010774129936020043}
114,4.0548768944619695,{'alpha': 0.06677065047718578}
115,3.9184629776990336,{'alpha': 0.03966246585067765}
116,3.9071486738012235,{'alpha': 0.022954999093492454}
117,3.949756213674562,{'alpha': 0.10307680888371976}
118,4.016974610954336,{'alpha': 0.016431051285839125}
119,3.9534724221740856,{'alpha': 0.018028519933584317}
120,3.924676663354903,{'alpha': 0.00954067285284472}
121,3.9127868297014667,{'alpha': 0.028075606245161495}
122,3.9629995864856906,{'alpha': 0.0178874155381638}
123,3.8935747450209974,{'alpha': 0.1043798610638033}
124,4.015137046905784,{'alpha': 0.07419604504487175}
125,3.9579137257153167,{'alpha': 0.03128472678162969}
126,3.983501046064573,{'alpha': 0.07089026476690845}
127,3.9831556675036883,{'alpha': 0.08790862302627428}
128,3.933697790922702,{'alpha': 0.06985418924885443}
129,3.9971173102622504,{'alpha': 0.0224443744880072}
130,4.018151147752412,{'alpha': 0.09916980462443707}
131,3.991246601321922,{'alpha': 0.012007426324836375}
132,3.931131397957017,{'alpha': 0.020101558149264218}
133,3.92688375571519,{'alpha': 0.01086956983393124}
