训练集mae,测试集mae,整体mae,训练集mse,测试集mse,整体mse,训练集r2,测试集r2,整体r2
0.468894519,0.380482352,0.459852365,0.389749191,0.247781125,0.375229729,0.861008817,0.944265253,0.873759799
0.467123844,0.391839053,0.459424263,0.388329089,0.258650443,0.3750665,0.861147042,0.938300468,0.873814715
0.465100122,0.400436162,0.458486762,0.382785685,0.313380464,0.375687424,0.858893612,0.938027879,0.873605815
0.467571778,0.374284032,0.458030986,0.390335239,0.241013171,0.375063664,0.863412091,0.936474676,0.87381567
0.465754604,0.41408453,0.460470165,0.389275137,0.249497195,0.374979666,0.862454562,0.93299537,0.873843929
0.471710576,0.349042265,0.459164953,0.393013188,0.220955168,0.375416345,0.866290982,0.932194846,0.873697016
0.464714661,0.409582798,0.459076175,0.387033417,0.264618951,0.374513755,0.865218299,0.93008094,0.874000678
0.459995188,0.443392921,0.458297229,0.382159869,0.31547046,0.375339362,0.863940662,0.928433095,0.873722915
0.47052632,0.354187019,0.458627983,0.391391217,0.234163849,0.375311145,0.866841185,0.927557817,0.873732408
0.468636134,0.369554456,0.458502781,0.391108244,0.22751827,0.374377451,0.8676375,0.926369577,0.874046535
0.462305593,0.405245568,0.456469909,0.384691595,0.280226686,0.374007684,0.866942619,0.923446127,0.874170938
0.466170182,0.360959787,0.455410028,0.389055205,0.245872625,0.374411532,0.867870711,0.923093719,0.874035069
0.46945792,0.343143056,0.456539354,0.394435552,0.191500996,0.373680881,0.869683906,0.923087901,0.874280885
0.464504667,0.401591815,0.458070398,0.388098897,0.264430823,0.375451026,0.866999248,0.923018991,0.873685348
0.462210764,0.437915884,0.45972606,0.381454495,0.338660804,0.377077868,0.863704046,0.922606952,0.873138022
0.466974899,0.397440195,0.459863396,0.388723183,0.262888331,0.375853709,0.867070403,0.922465566,0.873549871
0.471570291,0.351039062,0.459243234,0.387868356,0.258259022,0.374612856,0.867847902,0.92100735,0.873967337
0.470742758,0.343345439,0.457713487,0.391927619,0.222594935,0.374609504,0.869158663,0.91911289,0.873968465
0.454951238,0.494028176,0.458947743,0.373697054,0.388988886,0.375260991,0.864136954,0.919038246,0.873749282
0.458029196,0.4401753,0.456203229,0.38106905,0.321724243,0.374999695,0.866681305,0.918579381,0.873837191
0.457415766,0.460195946,0.457700103,0.380764465,0.327748293,0.375342357,0.866768878,0.917548409,0.873721908
0.454002608,0.460447237,0.454661717,0.380454139,0.33317177,0.375618442,0.866987083,0.915345431,0.873629023
0.45779421,0.450557422,0.457054084,0.377833144,0.355679764,0.375567458,0.866608107,0.915290252,0.873646176
0.466691466,0.386355181,0.458475255,0.38782149,0.252620149,0.37399408,0.869743912,0.91366443,0.874175514
0.460046316,0.436471359,0.457635241,0.379624253,0.343369082,0.375916338,0.866386787,0.91365716,0.873528801
0.465655881,0.385145498,0.457421864,0.387982196,0.26332056,0.375232711,0.868773389,0.913603177,0.873758797
0.46216795,0.431605575,0.459042252,0.386904417,0.259361538,0.373860259,0.869646784,0.91276984,0.874220536
0.460848916,0.452818787,0.460027653,0.384106079,0.318420899,0.377388276,0.867273595,0.912762799,0.87303359
0.45899429,0.457153838,0.458806062,0.378289587,0.377251683,0.378183437,0.8658106,0.912627882,0.87276607
0.45947033,0.436724126,0.457144014,0.381716568,0.329013599,0.376326491,0.866158132,0.912194988,0.873390811
0.462900487,0.47192082,0.463823021,0.384480537,0.329088382,0.378815431,0.866703469,0.912099103,0.872553446
0.460469045,0.433147304,0.457674776,0.381312164,0.339146275,0.376999743,0.867142217,0.912039793,0.873164306
0.459131881,0.418252062,0.45495099,0.38174437,0.313393698,0.374753961,0.868674201,0.911289341,0.873919864
0.462877305,0.414483623,0.457927951,0.387557836,0.262102734,0.374727201,0.869221993,0.910923964,0.873928867
0.458582795,0.493777044,0.462182207,0.378323448,0.393821182,0.379908444,0.864975202,0.910172145,0.872185719
0.458467491,0.444164268,0.457004661,0.377390946,0.347968171,0.374381798,0.868880185,0.908385405,0.874045073
0.464912358,0.403616589,0.458643472,0.384233289,0.293699251,0.374974126,0.869590114,0.907933228,0.873845793
0.472317467,0.341511466,0.458939581,0.394842304,0.19741317,0.374650688,0.870823096,0.907644439,0.873954609
0.464379791,0.411712744,0.458993388,0.383957474,0.301699202,0.375544696,0.868151582,0.907500706,0.873653834
0.452882667,0.475899461,0.455236657,0.381596338,0.32168937,0.375469489,0.869297356,0.906341804,0.873679136
0.46324059,0.428879191,0.459726356,0.385110307,0.311710875,0.377603547,0.868744864,0.905680104,0.872961166
0.455626451,0.491585131,0.459304043,0.379966872,0.331829203,0.375043701,0.869033975,0.9050972,0.873822386
