Seed,MAE,Param
0,-0.354375995885745,"{'hidden_layer_size_0': 53, 'hidden_layer_size_1': 39, 'hidden_layer_size_2': 19}"
1,-0.4328065603233071,"{'hidden_layer_size_0': 92, 'hidden_layer_size_1': 10, 'hidden_layer_size_2': 8}"
2,-0.4139375171333515,"{'hidden_layer_size_0': 85, 'hidden_layer_size_1': 59, 'hidden_layer_size_2': 15}"
3,-0.4141226019522507,"{'hidden_layer_size_0': 43, 'hidden_layer_size_1': 41, 'hidden_layer_size_2': 22}"
4,-0.4375806965185033,"{'hidden_layer_size_0': 44, 'hidden_layer_size_1': 81, 'hidden_layer_size_2': 57}"
5,-0.41565048912944313,"{'hidden_layer_size_0': 31, 'hidden_layer_size_1': 51, 'hidden_layer_size_2': 61}"
6,-0.34399814008614715,"{'hidden_layer_size_0': 33, 'hidden_layer_size_1': 43, 'hidden_layer_size_2': 47}"
7,-0.3294279569702415,"{'hidden_layer_size_0': 63, 'hidden_layer_size_1': 31, 'hidden_layer_size_2': 28}"
8,-0.32890606697976965,"{'hidden_layer_size_0': 89, 'hidden_layer_size_1': 12, 'hidden_layer_size_2': 10}"
9,-0.29479165402611307,"{'hidden_layer_size_0': 92, 'hidden_layer_size_1': 50, 'hidden_layer_size_2': 72}"
10,-0.28626446913112613,"{'hidden_layer_size_0': 40, 'hidden_layer_size_1': 79, 'hidden_layer_size_2': 64}"
11,-0.4062337350303793,"{'hidden_layer_size_0': 85, 'hidden_layer_size_1': 71, 'hidden_layer_size_2': 95}"
12,-0.3329140378848229,"{'hidden_layer_size_0': 68, 'hidden_layer_size_1': 24, 'hidden_layer_size_2': 31}"
13,-0.40503210740032014,"{'hidden_layer_size_0': 76, 'hidden_layer_size_1': 31, 'hidden_layer_size_2': 5}"
14,-0.25834585985922476,"{'hidden_layer_size_0': 96, 'hidden_layer_size_1': 54, 'hidden_layer_size_2': 48}"
15,-0.33956034998334994,"{'hidden_layer_size_0': 27, 'hidden_layer_size_1': 10, 'hidden_layer_size_2': 53}"
16,-0.25460736081752167,"{'hidden_layer_size_0': 31, 'hidden_layer_size_1': 20, 'hidden_layer_size_2': 46}"
17,-0.3119975724413382,"{'hidden_layer_size_0': 63, 'hidden_layer_size_1': 8, 'hidden_layer_size_2': 50}"
18,-0.3026103387031802,"{'hidden_layer_size_0': 28, 'hidden_layer_size_1': 8, 'hidden_layer_size_2': 13}"
19,-0.3124150656670964,"{'hidden_layer_size_0': 48, 'hidden_layer_size_1': 86, 'hidden_layer_size_2': 7}"
20,-0.3754842008572834,"{'hidden_layer_size_0': 39, 'hidden_layer_size_1': 29, 'hidden_layer_size_2': 74}"
21,-0.3699760387515503,"{'hidden_layer_size_0': 74, 'hidden_layer_size_1': 25, 'hidden_layer_size_2': 35}"
22,-0.42421675944089954,"{'hidden_layer_size_0': 43, 'hidden_layer_size_1': 76, 'hidden_layer_size_2': 14}"
23,-0.5010386841821011,"{'hidden_layer_size_0': 92, 'hidden_layer_size_1': 34, 'hidden_layer_size_2': 36}"
24,-0.39385948192206843,"{'hidden_layer_size_0': 69, 'hidden_layer_size_1': 74, 'hidden_layer_size_2': 65}"
25,-0.2609606602890512,"{'hidden_layer_size_0': 60, 'hidden_layer_size_1': 37, 'hidden_layer_size_2': 93}"
26,-0.3776675024586549,"{'hidden_layer_size_0': 48, 'hidden_layer_size_1': 92, 'hidden_layer_size_2': 26}"
27,-0.2629168489992988,"{'hidden_layer_size_0': 29, 'hidden_layer_size_1': 12, 'hidden_layer_size_2': 54}"
28,-0.34521628626533385,"{'hidden_layer_size_0': 94, 'hidden_layer_size_1': 28, 'hidden_layer_size_2': 39}"
29,-0.4937442159830283,"{'hidden_layer_size_0': 97, 'hidden_layer_size_1': 58, 'hidden_layer_size_2': 67}"
30,-0.244225908772992,"{'hidden_layer_size_0': 95, 'hidden_layer_size_1': 6, 'hidden_layer_size_2': 12}"
31,-0.3817084947381888,"{'hidden_layer_size_0': 18, 'hidden_layer_size_1': 10, 'hidden_layer_size_2': 43}"
32,-0.4356016887578309,"{'hidden_layer_size_0': 33, 'hidden_layer_size_1': 75, 'hidden_layer_size_2': 86}"
33,-0.4016468180380871,"{'hidden_layer_size_0': 94, 'hidden_layer_size_1': 32, 'hidden_layer_size_2': 48}"
34,-0.35914433189557793,"{'hidden_layer_size_0': 84, 'hidden_layer_size_1': 35, 'hidden_layer_size_2': 52}"
35,-0.25395910020535273,"{'hidden_layer_size_0': 67, 'hidden_layer_size_1': 8, 'hidden_layer_size_2': 65}"
36,-0.3618737717624637,"{'hidden_layer_size_0': 18, 'hidden_layer_size_1': 44, 'hidden_layer_size_2': 64}"
37,-0.2955697072727903,"{'hidden_layer_size_0': 84, 'hidden_layer_size_1': 98, 'hidden_layer_size_2': 14}"
38,-0.3789188731635966,"{'hidden_layer_size_0': 89, 'hidden_layer_size_1': 52, 'hidden_layer_size_2': 2}"
39,-0.3079339164907271,"{'hidden_layer_size_0': 89, 'hidden_layer_size_1': 67, 'hidden_layer_size_2': 42}"
40,-0.20270836943783987,"{'hidden_layer_size_0': 69, 'hidden_layer_size_1': 25, 'hidden_layer_size_2': 100}"
41,-0.4130973312930457,"{'hidden_layer_size_0': 67, 'hidden_layer_size_1': 97, 'hidden_layer_size_2': 85}"
42,-0.1782116461627492,"{'hidden_layer_size_0': 18, 'hidden_layer_size_1': 59, 'hidden_layer_size_2': 55}"
43,-0.2826083474926727,"{'hidden_layer_size_0': 6, 'hidden_layer_size_1': 55, 'hidden_layer_size_2': 82}"
44,-0.3145369993338719,"{'hidden_layer_size_0': 52, 'hidden_layer_size_1': 17, 'hidden_layer_size_2': 54}"
45,-0.29941932842430563,"{'hidden_layer_size_0': 73, 'hidden_layer_size_1': 75, 'hidden_layer_size_2': 55}"
46,-0.3775314223682298,"{'hidden_layer_size_0': 43, 'hidden_layer_size_1': 38, 'hidden_layer_size_2': 26}"
47,-0.1654923606430273,"{'hidden_layer_size_0': 99, 'hidden_layer_size_1': 2, 'hidden_layer_size_2': 8}"
48,-0.3135063395684392,"{'hidden_layer_size_0': 84, 'hidden_layer_size_1': 85, 'hidden_layer_size_2': 11}"
49,-0.33436163996600143,"{'hidden_layer_size_0': 58, 'hidden_layer_size_1': 32, 'hidden_layer_size_2': 36}"
50,-0.18583892570041294,"{'hidden_layer_size_0': 96, 'hidden_layer_size_1': 13, 'hidden_layer_size_2': 30}"
51,-0.3210299432366728,"{'hidden_layer_size_0': 85, 'hidden_layer_size_1': 29, 'hidden_layer_size_2': 57}"
52,-0.3857282543852769,"{'hidden_layer_size_0': 21, 'hidden_layer_size_1': 42, 'hidden_layer_size_2': 69}"
53,-0.3598006124734644,"{'hidden_layer_size_0': 42, 'hidden_layer_size_1': 47, 'hidden_layer_size_2': 3}"
54,-0.27864470928556007,"{'hidden_layer_size_0': 40, 'hidden_layer_size_1': 92, 'hidden_layer_size_2': 33}"
55,-0.34468836126255253,"{'hidden_layer_size_0': 56, 'hidden_layer_size_1': 68, 'hidden_layer_size_2': 100}"
56,-0.40551648819076014,"{'hidden_layer_size_0': 52, 'hidden_layer_size_1': 81, 'hidden_layer_size_2': 2}"
57,-0.29715906971868433,"{'hidden_layer_size_0': 78, 'hidden_layer_size_1': 7, 'hidden_layer_size_2': 2}"
58,-0.37862157161155563,"{'hidden_layer_size_0': 66, 'hidden_layer_size_1': 63, 'hidden_layer_size_2': 78}"
59,-0.24025959713960898,"{'hidden_layer_size_0': 68, 'hidden_layer_size_1': 58, 'hidden_layer_size_2': 35}"
