Seed,MAE,Param
0,0.29504783293446635,{'alpha': 1.7603563657495336}
1,0.2919265125358713,{'alpha': 3.228894744043019}
2,0.2931220988818605,{'alpha': 1.4242398176668487}
3,0.29321826075370727,{'alpha': 2.1062277260180657}
4,0.29055864972194045,{'alpha': 2.3321240327285127}
5,0.2936173244922626,{'alpha': 1.1067853158587444}
6,0.2900973627016806,{'alpha': 1.7548226789884458}
7,0.29109379160232096,{'alpha': 2.5482421570228837}
8,0.29312049778151655,{'alpha': 3.157095554849798}
9,0.29525948521627304,{'alpha': 2.263046976400858}
10,0.29202690982160956,{'alpha': 1.473904165189875}
11,0.2919233692615029,{'alpha': 2.378807440632442}
12,0.2933584016957273,{'alpha': 1.6372294482021623}
13,0.2897650562857708,{'alpha': 2.059427757215372}
14,0.294663661713056,{'alpha': 1.9188093533452186}
15,0.2930902710870313,{'alpha': 2.977093649315973}
16,0.2922920198040842,{'alpha': 2.6299911690225692}
17,0.2926559155012882,{'alpha': 0.5589793703500094}
18,0.29179493833668035,{'alpha': 2.9762170474250635}
19,0.29022692168803194,{'alpha': 2.3686164020212863}
20,0.292331117683764,{'alpha': 1.3723820385182317}
21,0.2888334156964972,{'alpha': 1.5269374279371233}
22,0.29233662215476997,{'alpha': 1.5033811508360078}
23,0.2951055630128066,{'alpha': 1.8202907795338352}
24,0.29173497793812,{'alpha': 2.6019611607663036}
25,0.29048311481246086,{'alpha': 2.445386979010934}
26,0.29032755281045014,{'alpha': 2.4137254056536754}
27,0.2904961672751073,{'alpha': 2.0981959828853474}
28,0.2920921340795234,{'alpha': 2.68202943414606}
29,0.2932015804913197,{'alpha': 2.5728022275440967}
30,0.29276027534360977,{'alpha': 1.0324313331053618}
31,0.2933667584673376,{'alpha': 1.0068488188925508}
32,0.2914875911251112,{'alpha': 1.8747635759455958}
33,0.28933713764722646,{'alpha': 0.6229800698460103}
34,0.2895482533162952,{'alpha': 2.769868510775307}
35,0.2911389364236411,{'alpha': 2.0739132092359425}
36,0.2922534278377194,{'alpha': 1.7257722579089156}
37,0.2899056697313655,{'alpha': 2.823090291886299}
38,0.2923439993134983,{'alpha': 2.7889769148854864}
39,0.29368905824258024,{'alpha': 3.427977880258049}
40,0.2928380906850398,{'alpha': 0.3997749929643449}
41,0.2938067702048394,{'alpha': 1.8250133832243043}
42,0.2943510442216015,{'alpha': 2.7784508260285388}
43,0.29279977688530007,{'alpha': 0.9524543278772694}
44,0.29363218229703225,{'alpha': 2.452994316320128}
45,0.2925022672867967,{'alpha': 1.779867808845222}
46,0.29203054314521854,{'alpha': 1.8383209456292682}
47,0.28996615853830493,{'alpha': 1.8567980153827104}
48,0.2909187113963106,{'alpha': 3.0974084514647653}
49,0.29287487529271033,{'alpha': 3.731347401322321}
50,0.29369170214481694,{'alpha': 0.7818882965595161}
51,0.29088915809964977,{'alpha': 2.273318731424944}
52,0.29347246952890804,{'alpha': 1.5603525752779746}
53,0.2906500982735247,{'alpha': 2.0548773060856855}
54,0.29184052135297406,{'alpha': 1.6497993208335353}
55,0.2929645755131627,{'alpha': 2.862832491877468}
56,0.2916509888851722,{'alpha': 2.427902990058135}
57,0.2910193100846313,{'alpha': 1.9810088194458333}
58,0.2937434310646399,{'alpha': 1.3867440302892589}
59,0.293078610959203,{'alpha': 2.8111544964302473}
60,0.2902481689035017,{'alpha': 0.34345794794301404}
61,0.28997258212151833,{'alpha': 1.110612904490895}
62,0.29217245654573704,{'alpha': 2.589371467834396}
63,0.2922278465656926,{'alpha': 2.142268111512343}
64,0.2927273118627207,{'alpha': 1.8043547227100913}
65,0.2928301992614073,{'alpha': 2.72594689529462}
66,0.2907314377678994,{'alpha': 1.7648827691697293}
67,0.2928502714593279,{'alpha': 2.844076563709981}
68,0.29343887592821744,{'alpha': 1.0965982799096798}
69,0.2917645425945964,{'alpha': 1.1895309393859377}
70,0.29381240624387134,{'alpha': 2.0284773487211862}
71,0.29185064460880733,{'alpha': 2.664284991948609}
72,0.2932140704999566,{'alpha': 2.0437405356908496}
73,0.2944171195042768,{'alpha': 1.6731543865274665}
74,0.2935158931674624,{'alpha': 3.7772704694628705}
75,0.2924802109291764,{'alpha': 1.650742931737749}
76,0.2928274915439201,{'alpha': 4.027883201710505}
77,0.2919616513548671,{'alpha': 1.5221766819653486}
78,0.2929051419296597,{'alpha': 0.9076967616871144}
79,0.2895222972767145,{'alpha': 1.764152564055705}
80,0.2933569740788685,{'alpha': 1.9300470054827068}
81,0.29273177520838534,{'alpha': 1.285195431310908}
82,0.29446509972598195,{'alpha': 3.210799435027177}
83,0.29610368285788674,{'alpha': 1.3046393652261996}
84,0.29215288404006684,{'alpha': 4.554445726341358}
85,0.29183040260158566,{'alpha': 1.469195012286616}
86,0.29731794377934123,{'alpha': 5.370319612947324}
87,0.2923112984698952,{'alpha': 2.4121122944740394}
88,0.29331118990079186,{'alpha': 1.2038513749105209}
89,0.29292406504561075,{'alpha': 2.9113372182126818}
90,0.2935536642465071,{'alpha': 2.3048456724380015}
91,0.29095716819811207,{'alpha': 1.8703875872277955}
92,0.2925062093663996,{'alpha': 2.257543543711173}
93,0.294897672795676,{'alpha': 2.080991483845226}
94,0.29217708179088786,{'alpha': 2.647474043972179}
95,0.29365566168301116,{'alpha': 1.9020678271845834}
96,0.2924281921160221,{'alpha': 2.5374288332840584}
97,0.2926086194984791,{'alpha': 1.9608142789161846}
98,0.29157055154953276,{'alpha': 2.9035091514363898}
99,0.2918449202231271,{'alpha': 1.451361383951287}
100,0.293233643653898,{'alpha': 3.1310239302149356}
101,0.29328694931649896,{'alpha': 5.093280964679623}
102,0.2919607245031386,{'alpha': 1.6528007902194874}
103,0.2932314647219234,{'alpha': 1.962984610167104}
104,0.2947793402297157,{'alpha': 3.365694321128715}
105,0.28977739549942494,{'alpha': 1.6246631823629982}
106,0.29025031032764925,{'alpha': 1.920046291601288}
107,0.2920985732689893,{'alpha': 0.7571656111324472}
108,0.29300227304364485,{'alpha': 1.4665079510938852}
109,0.29091895401894075,{'alpha': 1.5578229281397717}
110,0.2905451900812035,{'alpha': 0.7141886405479252}
111,0.29417203231535755,{'alpha': 1.9468685872313356}
112,0.29232410941795156,{'alpha': 1.8695259329144394}
113,0.2932658754471552,{'alpha': 3.849183422994832}
114,0.29290473036702863,{'alpha': 1.667960696666334}
115,0.29044813345714093,{'alpha': 1.3933552560519675}
116,0.2916493080333506,{'alpha': 0.9136715807129254}
117,0.2937375949895493,{'alpha': 0.5380354915446067}
118,0.2929281426239686,{'alpha': 1.4107863655984103}
119,0.29400337412533245,{'alpha': 3.058964947416778}
120,0.29335002414099975,{'alpha': 2.6736404462441894}
121,0.2917437510098453,{'alpha': 1.8353399749052164}
122,0.2940973062742377,{'alpha': 3.277067674091339}
123,0.2922469314493677,{'alpha': 1.4181878357131452}
124,0.29136305977889876,{'alpha': 5.117216210432926}
125,0.2940972493884763,{'alpha': 2.1864043427960573}
126,0.2921724150655565,{'alpha': 1.4660719016970973}
127,0.2912809327689849,{'alpha': 1.45626304287007}
128,0.29236524832466954,{'alpha': 1.3243659795432399}
129,0.2941130302401595,{'alpha': 2.930965175865611}
130,0.29328538535646353,{'alpha': 1.117185730161218}
131,0.2936138446492146,{'alpha': 1.5602673553363797}
132,0.2920947501054903,{'alpha': 3.393329736694794}
133,0.29140918032025404,{'alpha': 1.492623329045927}
134,0.29306869775497985,{'alpha': 2.6508972286079855}
135,0.2916733108308341,{'alpha': 4.167706443229382}
136,0.29237679262189237,{'alpha': 1.421084329435909}
137,0.2903148182184756,{'alpha': 1.7157910043631308}
138,0.29174767098017185,{'alpha': 1.9718663415090547}
139,0.29115555996597997,{'alpha': 3.6514728292172145}
140,0.29357615759631606,{'alpha': 2.230357975069513}
141,0.29644438962981046,{'alpha': 2.057383279634638}
142,0.2930777043777646,{'alpha': 1.8516096191012563}
143,0.2926627380262711,{'alpha': 2.5332712872266474}
144,0.2921161737751427,{'alpha': 2.7279276275454865}
145,0.29140329651247987,{'alpha': 3.028401540913993}
146,0.29374413681447714,{'alpha': 3.230461653132845}
147,0.29042646391151156,{'alpha': 2.593384920943047}
148,0.2916887184672419,{'alpha': 3.6828395615944607}
149,0.29240432055246135,{'alpha': 1.3437854533863602}
150,0.2924429898289925,{'alpha': 0.8984275963885847}
151,0.2916734866714983,{'alpha': 1.2373144287811357}
152,0.29170622646469196,{'alpha': 3.0498959388975364}
153,0.29125285110971605,{'alpha': 0.8722711543490873}
154,0.29152110645578816,{'alpha': 0.9439527989035448}
155,0.2917131258648448,{'alpha': 1.1537924249248237}
156,0.2913570833738957,{'alpha': 2.3830005025398964}
157,0.294634846217876,{'alpha': 1.7299751455772259}
158,0.2914340813296097,{'alpha': 3.369129805503462}
159,0.2922695835241266,{'alpha': 2.3473326086964232}
160,0.29029503963527187,{'alpha': 0.5328568339474038}
161,0.2942383626111067,{'alpha': 1.712132765866637}
162,0.29134773351378873,{'alpha': 1.4237452244429067}
163,0.29163167933392226,{'alpha': 1.9590936499566631}
