Seed,MAE,Param
0,4.0106539980500875,{'alpha': 3.0616359753617766}
1,3.9523833117102716,{'alpha': 1.800674294213527}
2,3.9539234809999715,{'alpha': 0.516141583209261}
3,3.9573612235848628,{'alpha': 2.8574686532623086}
4,3.949054996635446,{'alpha': 2.032232209102672}
5,3.969375382745669,{'alpha': 3.8203064767790527}
6,3.96092550532,{'alpha': 3.4748106263321024}
7,3.910559475728355,{'alpha': 2.5587654003659352}
8,3.997443341245318,{'alpha': 1.6496415939290943}
9,3.9796631263782105,{'alpha': 4.729902800066512}
10,3.9624225747380093,{'alpha': 2.0681983309883814}
11,3.9445044737766426,{'alpha': 2.2366605632825047}
12,4.022448412668684,{'alpha': 3.0674768966045978}
13,4.0214844780528525,{'alpha': 1.2233808312539407}
14,3.931942430819919,{'alpha': 2.887572399093806}
15,3.944174344755028,{'alpha': 1.9962552598681684}
16,3.9296368280706777,{'alpha': 0.8764398441130486}
17,3.9411829199819484,{'alpha': 2.926103629475694}
18,3.8665497932711954,{'alpha': 3.0987881725076556}
19,4.033854563691257,{'alpha': 3.775588771346368}
20,3.9884107480390245,{'alpha': 3.0704795993467964}
21,4.008951204963416,{'alpha': 3.10627297133296}
22,3.9172708351433143,{'alpha': 1.9140964246877525}
23,3.9935836907061986,{'alpha': 4.992450201757019}
24,3.9802465922717896,{'alpha': 1.0001324068159756e-05}
25,3.980906335913465,{'alpha': 4.16478392359378}
26,3.943874767509726,{'alpha': 2.2520258456615516}
27,3.9436800304053103,{'alpha': 1.996629685132674}
28,3.921767402950268,{'alpha': 3.688580095038537}
29,3.9914458388045473,{'alpha': 1.0141123179672071e-05}
30,3.9851407273964994,{'alpha': 1.8097034192573855}
31,4.03007888277543,{'alpha': 3.592858013289738}
32,3.915015915667532,{'alpha': 1.871188919883767}
33,3.968752594992334,{'alpha': 2.6468800612329}
34,3.888756877575594,{'alpha': 2.5405810545792535}
35,3.976729430040326,{'alpha': 2.88375587263738}
36,4.0400765494250095,{'alpha': 2.423915788066165}
37,3.9814084192995822,{'alpha': 1.8755024389395434}
38,3.9919951118579005,{'alpha': 2.36970828639004}
39,3.9657157836380517,{'alpha': 1.3824030365557929}
40,3.9909724780991045,{'alpha': 3.0606584709948095}
41,3.9904233073654067,{'alpha': 1.7354955435824893}
42,3.9781606400307656,{'alpha': 1.5033104377130775}
43,4.012559872209328,{'alpha': 3.821797849897459}
44,4.031875160086139,{'alpha': 2.0716282854210175}
45,3.9744787270626927,{'alpha': 2.2255534922492406}
46,3.9230980797705013,{'alpha': 3.144323421052752}
47,4.030949516121984,{'alpha': 0.9546761620580395}
48,3.982908131748188,{'alpha': 2.0213758126941257}
49,3.9642682568964407,{'alpha': 1.5086278625580567}
50,3.953292696975875,{'alpha': 2.9653749459558267}
51,4.029827353205757,{'alpha': 3.416892691132778}
52,3.891758040713087,{'alpha': 2.907161692706702}
53,3.892847128108962,{'alpha': 1.0017939591574113e-05}
54,3.9219506667322093,{'alpha': 4.86065615102573}
55,3.9789958921645647,{'alpha': 0.19610473880176532}
56,3.9480043567192102,{'alpha': 0.042221922570655046}
57,4.016542027206625,{'alpha': 2.1498034949815685}
58,3.858490942373139,{'alpha': 0.532127701053423}
59,3.92617547658575,{'alpha': 3.1734132273519884}
60,3.9458365785030867,{'alpha': 2.8118014274223677}
61,4.002718896922169,{'alpha': 0.815287380218137}
