Seed,MAE,Param
0,0.13075948719958175,"{'C': 1.3141529497313218, 'epsilon': 0.005349864108782908, 'gamma': 0.03796363610094995}"
1,0.11561579757463547,"{'C': 1.4891745698440455, 'epsilon': 0.0072198186424393875, 'gamma': 0.04114138142630243}"
2,0.13351417301978194,"{'C': 1.4940285125119845, 'epsilon': 0.004780534660627668, 'gamma': 0.08010183969237336}"
3,0.1505475415077463,"{'C': 1.1461994705851013, 'epsilon': 0.0010977743445279215, 'gamma': 0.0457585917732146}"
4,0.1468207372489147,"{'C': 1.1808900458257, 'epsilon': 0.006536076469429388, 'gamma': 0.042454047948060604}"
5,0.11725877252351694,"{'C': 1.4656919034708102, 'epsilon': 0.0018679204278836139, 'gamma': 0.03325195201425558}"
6,0.18382320020874748,"{'C': 0.9309108422499902, 'epsilon': 0.001777561271275685, 'gamma': 0.0280386385974866}"
7,0.11602864053165775,"{'C': 1.4951805338756377, 'epsilon': 0.005728877576756074, 'gamma': 0.04346406677905469}"
8,0.12560186098956583,"{'C': 1.4834879919410058, 'epsilon': 0.009763304523906358, 'gamma': 0.03265337776974756}"
9,0.1471356998842112,"{'C': 1.1045915053338948, 'epsilon': 0.0019359443358447385, 'gamma': 0.04906057753951438}"
10,0.12321905459141268,"{'C': 1.4884430397264696, 'epsilon': 0.0169990960947729, 'gamma': 0.03127765981414004}"
11,0.13112823588332284,"{'C': 1.4932572731218268, 'epsilon': 0.035593180065002984, 'gamma': 0.03073622755926742}"
12,0.12218996222467081,"{'C': 1.493656571768865, 'epsilon': 0.008514679849143305, 'gamma': 0.030490460523839507}"
13,0.12274100064647611,"{'C': 1.4715472723947125, 'epsilon': 0.0016197374539885917, 'gamma': 0.04546217527424415}"
14,0.18606593419414674,"{'C': 0.9193741754418328, 'epsilon': 0.0020379272827292685, 'gamma': 0.04542387075769491}"
15,0.1321564827796133,"{'C': 1.3503708400621852, 'epsilon': 0.0018097199385368763, 'gamma': 0.06136785578378816}"
16,0.1590753195744033,"{'C': 1.1539031236094939, 'epsilon': 0.004797765930987114, 'gamma': 0.023853526738244254}"
17,0.14586715201789724,"{'C': 1.1675797915482002, 'epsilon': 0.001681971935019895, 'gamma': 0.03787039146627223}"
18,0.11166420150864656,"{'C': 1.450229238269871, 'epsilon': 0.001223802336828792, 'gamma': 0.039107444885879646}"
19,0.11681271229109697,"{'C': 1.4929757910216666, 'epsilon': 0.0015844588945791605, 'gamma': 0.03380251301267411}"
20,0.142297921312303,"{'C': 1.4855439342956211, 'epsilon': 0.06283842432011273, 'gamma': 0.050394117788218465}"
21,0.1456413832352532,"{'C': 1.1740578364224707, 'epsilon': 0.001061452089388949, 'gamma': 0.03557731777775955}"
22,0.1766006218876025,"{'C': 1.125737370920188, 'epsilon': 0.04816252787216586, 'gamma': 0.0312244410605932}"
23,0.11482286213162407,"{'C': 1.4956177065071923, 'epsilon': 0.0010124284301349729, 'gamma': 0.04086765943559116}"
24,0.11865051778979288,"{'C': 1.372045620809586, 'epsilon': 0.004286747432536426, 'gamma': 0.04976781171623905}"
25,0.1124593449164517,"{'C': 1.413980487156735, 'epsilon': 0.003337836794723989, 'gamma': 0.047855636868613806}"
26,0.10218305233264204,"{'C': 1.4662880263078581, 'epsilon': 0.0015618902674849656, 'gamma': 0.04850868861305248}"
27,0.1539473342546335,"{'C': 1.4086781569872595, 'epsilon': 0.0075376030736691215, 'gamma': 0.0769338385219167}"
28,0.16422326893749292,"{'C': 1.0758852801461312, 'epsilon': 0.017180752342215687, 'gamma': 0.04248644736115376}"
29,0.15424414633455222,"{'C': 1.467489993412994, 'epsilon': 0.007915300285854616, 'gamma': 0.017593350869105667}"
30,0.16628287123188715,"{'C': 1.1874424162274952, 'epsilon': 0.00681686371055977, 'gamma': 0.025620461421678103}"
31,0.10662346486016482,"{'C': 1.4618321129642282, 'epsilon': 0.0027242713518218697, 'gamma': 0.04540508372586917}"
32,0.1032384995466518,"{'C': 1.4975703189079936, 'epsilon': 0.0023289614275241437, 'gamma': 0.05024441139033698}"
33,0.14106749221404347,"{'C': 1.3397098996882328, 'epsilon': 0.01315436251462478, 'gamma': 0.030222068467066186}"
34,0.13022848857452798,"{'C': 1.493133129593652, 'epsilon': 0.0038719938284208265, 'gamma': 0.0287858141841836}"
35,0.11711267388497136,"{'C': 1.476222906126799, 'epsilon': 0.01638040206222471, 'gamma': 0.032062030296118586}"
36,0.10748818299446185,"{'C': 1.4943035135954346, 'epsilon': 0.005350982699135109, 'gamma': 0.04116879115700472}"
