Seed,MAE,Param
0,-0.5534519420794185,"{'C': 124.19205311997942, 'epsilon': 0.002693750642383578, 'gamma': 0.008325970265185926}"
1,-0.5414971334971124,"{'C': 992.2556902296143, 'epsilon': 0.05068240939769541, 'gamma': 0.0010333993573298768}"
2,-0.4652440441232666,"{'C': 235.9982659416084, 'epsilon': 0.014704796217652354, 'gamma': 0.010979474531817041}"
3,-0.48043336361869127,"{'C': 124.64304093711068, 'epsilon': 0.060621500992111034, 'gamma': 0.0009933276219864563}"
4,-0.448674974434771,"{'C': 161.5699486498149, 'epsilon': 0.011399927856945281, 'gamma': 0.032912516742195905}"
5,-0.5858652696718194,"{'C': 18.974645689847115, 'epsilon': 0.0392524940869873, 'gamma': 0.040182326337404026}"
6,-0.6271944046489328,"{'C': 467.9609224903827, 'epsilon': 0.0014471954435901686, 'gamma': 0.015198169471778693}"
7,-0.3251393140302786,"{'C': 544.7929954716234, 'epsilon': 0.0032350871886473215, 'gamma': 0.017377705675286865}"
8,-0.6558018830120831,"{'C': 18.55687811963169, 'epsilon': 0.002140933514239221, 'gamma': 0.013940362574411079}"
9,-0.42965500596706263,"{'C': 150.88790186225663, 'epsilon': 0.0014178109524372328, 'gamma': 0.005401782048517243}"
10,-0.23516684339193528,"{'C': 426.29112361479787, 'epsilon': 0.03257998700326714, 'gamma': 0.0017518803578987809}"
11,-0.294166834960481,"{'C': 784.0431249557181, 'epsilon': 0.00799501616865647, 'gamma': 0.001824203597221257}"
12,-0.5487376923362786,"{'C': 414.3459456622313, 'epsilon': 0.012116998817251274, 'gamma': 0.0011134464135836594}"
13,-0.752806582142535,"{'C': 958.3452451786541, 'epsilon': 0.009024714883233677, 'gamma': 0.0011060798460407967}"
14,-0.6800389418403192,"{'C': 528.3239185984547, 'epsilon': 0.0014024958350313864, 'gamma': 0.01459164822172798}"
15,-0.4414572488880124,"{'C': 865.6357351793506, 'epsilon': 0.004022705265826817, 'gamma': 0.000662870371338265}"
16,-0.6635407333485582,"{'C': 47.89786687610906, 'epsilon': 0.07913546144462869, 'gamma': 0.021602517227438115}"
17,-0.42393365284364637,"{'C': 53.696300391236505, 'epsilon': 0.003910768095592167, 'gamma': 0.0076064446824478165}"
18,-0.40223748655616387,"{'C': 385.5242265586819, 'epsilon': 0.0017700950334711997, 'gamma': 0.006128881044444597}"
19,-0.38229357792297347,"{'C': 383.42709867447894, 'epsilon': 0.012251725598498825, 'gamma': 0.0008013633223429047}"
20,-0.37145232708768805,"{'C': 528.9902910966124, 'epsilon': 0.02296505369822059, 'gamma': 0.001883321697199968}"
21,-0.5023526831530358,"{'C': 598.5852466369759, 'epsilon': 0.09707985713828762, 'gamma': 0.001428272515063733}"
22,-0.6719889154061041,"{'C': 90.28704164202749, 'epsilon': 0.030560734858675675, 'gamma': 0.020030119594743934}"
23,-0.389014118807794,"{'C': 127.93891121468155, 'epsilon': 0.014096359016475952, 'gamma': 0.0011296455900024174}"
24,-0.4434967024854667,"{'C': 35.60376049917643, 'epsilon': 0.006615110393533217, 'gamma': 0.012200791273866992}"
25,-0.4377985634063727,"{'C': 351.68932286231205, 'epsilon': 0.08223828758977772, 'gamma': 0.03136546585828999}"
26,-0.5750016852716904,"{'C': 769.8905599037788, 'epsilon': 0.0019825988689752957, 'gamma': 0.0050234757937706286}"
27,-0.7734477860466558,"{'C': 944.8736684122503, 'epsilon': 0.006645201740337351, 'gamma': 0.005699577503038324}"
28,-0.5296575149382454,"{'C': 297.37592557911466, 'epsilon': 0.06116358125169688, 'gamma': 0.011173122408676016}"
29,-0.8412231189018258,"{'C': 462.9721518108798, 'epsilon': 0.02597071319434371, 'gamma': 0.007953981175279373}"
30,-0.7293185239618079,"{'C': 936.7886506444526, 'epsilon': 0.04287212796409153, 'gamma': 0.0003773744620182767}"
31,-0.473564185868769,"{'C': 79.89070299866216, 'epsilon': 0.02870946473311886, 'gamma': 0.002386050802831021}"
32,-0.43922382728841436,"{'C': 989.3557460448575, 'epsilon': 0.09301039398202458, 'gamma': 0.0012753588630706196}"
33,-0.3043093460489026,"{'C': 107.90114312519533, 'epsilon': 0.0035175583030801136, 'gamma': 0.006579438910244335}"
34,-0.17098909939075746,"{'C': 988.1262567131955, 'epsilon': 0.005406739067178489, 'gamma': 0.011033909174823052}"
35,-0.4336072479099198,"{'C': 16.31705490794431, 'epsilon': 0.031379863814785344, 'gamma': 0.08444718235325487}"
36,-0.43054629393852173,"{'C': 405.6159943871796, 'epsilon': 0.010471580934298235, 'gamma': 0.0006774843600084294}"
37,-0.6278557149227992,"{'C': 812.9933748473777, 'epsilon': 0.03258482954350361, 'gamma': 0.001319239590667949}"
38,-0.675515540052037,"{'C': 26.583341631273687, 'epsilon': 0.0039538894845713955, 'gamma': 0.0060363039636699865}"
39,-0.6647068028530769,"{'C': 45.03970306022354, 'epsilon': 0.05719454040439423, 'gamma': 0.013704862089546356}"
40,-0.4174356741620644,"{'C': 480.0026645016526, 'epsilon': 0.02787902551391613, 'gamma': 0.0004006497817481181}"
41,-0.6551248026550311,"{'C': 76.1210924380261, 'epsilon': 0.02548143382052288, 'gamma': 0.011056218345435315}"
42,-0.2734064621691952,"{'C': 11.00907153768875, 'epsilon': 0.0043882219700289524, 'gamma': 0.07384971465232419}"
43,-0.45694934796157616,"{'C': 22.819483687723338, 'epsilon': 0.021522572507708573, 'gamma': 0.009087576923354407}"
44,-0.4811666333029071,"{'C': 252.25277153957552, 'epsilon': 0.09462182413294747, 'gamma': 0.0005798191742445323}"
45,-0.7181971230911277,"{'C': 708.9109635312985, 'epsilon': 0.024504232702335628, 'gamma': 0.006213503878086613}"
46,-0.6489044089573133,"{'C': 287.06353781682145, 'epsilon': 0.016650599586756392, 'gamma': 0.0006410830981819183}"
47,-0.7391140497619721,"{'C': 274.3189315035114, 'epsilon': 0.0053422447076752816, 'gamma': 0.004034063812699309}"
48,-0.647302427208315,"{'C': 69.90980298842832, 'epsilon': 0.003995553341748047, 'gamma': 0.0800336199062257}"
49,-0.5065834202529569,"{'C': 496.3339754021714, 'epsilon': 0.01771007735735534, 'gamma': 0.00224956409876524}"
50,-0.31086117926300383,"{'C': 332.3086770489261, 'epsilon': 0.01676128986831538, 'gamma': 0.0007976966018545623}"
51,-0.48392030309909795,"{'C': 86.36160091113076, 'epsilon': 0.027951272315529206, 'gamma': 0.01548840364064895}"
52,-0.5239752549870396,"{'C': 247.78280739043836, 'epsilon': 0.009688861690384822, 'gamma': 0.008085716786520524}"
53,-0.38211125630104126,"{'C': 604.1481271826299, 'epsilon': 0.007962956896003192, 'gamma': 0.05880823271058539}"
