formula_pretty,material_id,Cohesive_energy,Quality_index
CoMo,mp-1006884,5.31,5.14
HfPd3,mp-1007656,5.4,47.67
Co3Mo,mp-1008279,4.99,11.43
Mn2Ge,mp-1008920,3.09,17.41
InAg,mp-1009018,2.71,8.15
CrCo,mp-1010071,4.07,7.07
HfZn,mp-1014219,4.09,28.55
Mg3Bi,mp-1016234,1.72,10.04
Mg7Ni,mp-1016301,1.85,12.86
RbMg7,mp-1016325,1.19,14.59
ZrCd,mp-1017540,3.83,12.85
CrFe3,mp-1018067,4.17,8.24
AlCo3,mp-1018101,4.32,7.84
ScAg2,mp-1018128,3.57,16.13
AlNi2,mp-1025044,4.59,10.16
Hf4Al3,mp-1025223,5.53,20.55
CuGe3,mp-1025440,3.47,9.62
SbPt7,mp-1030,5.56,9.7
MgCu2,mp-1038,2.98,8.29
MgCd,mp-1038767,1.42,10.05
Mg2Bi,mp-1038906,1.78,15.76
Mg2Bi,mp-1039091,1.82,13.36
MgCd,mp-1039157,1.2,8.83
Mg2Bi,mp-1039182,1.78,12.48
Ca3Mg,mp-1039230,1.92,19.73
CaMg2,mp-1039382,1.74,14.67
CaMg2,mp-1039393,1.75,14
CaMg,mp-1039439,1.78,17.7
MgCd2,mp-1039543,1.33,13.55
CaMg,mp-1039552,1.79,15.56
Al3Ni2,mp-1057,4.43,13.55
CaNi,mp-1059707,3.24,17.28
CaPd2,mp-1063133,3.68,11.95
Sr2Rh,mp-1063245,3.16,16.84
Rb3Re,mp-1065428,1.07,31.46
In3Pt2,mp-1069815,4.34,18.54
Al3Ru2,mp-1069983,5.16,20.45
YCu2,mp-1077241,3.94,9.21
Cr2Co,mp-1077706,3.94,10.79
GaPt3,mp-1078666,5.54,11.35
TiCo3,mp-1079863,4.71,7.68
VPt8,mp-1079997,6.05,8.03
ZrGa3,mp-1080001,4.17,18.25
Tl3Au,mp-1080569,2.32,13.71
Al3Cu2,mp-10886,3.59,12.51
AlPt,mp-10904,5.65,39.25
MgAl2,mp-1094116,2.78,11.48
HfMg,mp-1094183,1.78,17.23
Mg5Sn,mp-1094227,1.79,11.62
MgSn2,mp-1094235,2.61,9.75
Mg2Sn,mp-1094242,2.11,10.35
ZrSn,mp-1094263,4.95,16.65
MgTi,mp-1094341,2.99,16.67
MgTi,mp-1094345,3,16.48
Mg5Ti,mp-1094366,1.95,16.34
MgTi2,mp-1094380,3.55,17.66
YMg2,mp-1094403,2.52,19.38
YMg5,mp-1094405,1.97,14.84
Mg2Zn,mp-1094448,1.48,11.39
MgZn5,mp-1094462,1.4,10.18
Mg2Zn,mp-1094465,1.46,11.5
Mg2Ti,mp-1094502,2.38,14.74
Mg2Zn,mp-1094503,1.51,9.91
Mg2Sn,mp-1094518,2.11,9.96
Y2Mg,mp-1094526,3.39,22.72
Y2Mg,mp-1094531,3.45,23.33
Mg2Sb,mp-1094536,2.04,13.02
Mg2Sb,mp-1094554,2.13,14.03
LiMg2,mp-1094570,1.59,11.42
LiMg2,mp-1094574,1.57,11.3
LiMg,mp-1094578,1.61,10.35
LiMg,mp-1094594,1.61,10.57
LiMg2,mp-1094600,1.59,12.41
LiMg3,mp-1094670,1.56,9.75
Mg3Ga,mp-1094854,1.88,10.15
MgTi3,mp-1094865,3.92,13.91
ZrSn,mp-1094898,5.05,12.91
MgTi3,mp-1094905,3.87,24.29
HfMg,mp-1094964,3.78,8.72
MgBi,mp-1095012,1.98,31.16
InRu3,mp-1095082,5.34,9.24
Mg2Ni,mp-1101861,2.45,14.57
Ta2Fe,mp-1102936,6.55,10.4
Ga5W2,mp-1103522,4.5,21.67
Ca5Pt2,mp-1103570,3.85,28.46
Y3Co,mp-1105598,4.53,43.26
Y3Ni,mp-1105633,4.64,53.57
Mo3Ir,mp-1120,6.95,8.81
VBi2,mp-1120786,3.03,61.51
YAl,mp-11228,4.3,14.03
MnAu2,mp-11252,3.62,11.83
TiAu,mp-11259,4.64,12.3
BaCd2,mp-11266,1.75,34.15
Ta2Be,mp-11278,6.67,11.97
MoIr,mp-11481,7.2,6.93
MoIr3,mp-11482,7.24,10.02
NbPt2,mp-11514,7.11,8.75
VPd2,mp-11549,4.63,7.78
VZn3,mp-11578,2.38,14.46
ScCu,mp-1169,3.97,9.45
SnSb,mp-1179352,2.87,38.99
K2Re,mp-1181016,1.76,19.4
Ga5Ir3,mp-1181401,4.65,62.73
BaNa2,mp-11820,1.4,61.14
AlCu4,mp-1182885,3.59,18.72
Al3Cu,mp-1183161,3.46,6.23
AgPd,mp-1183222,3.47,9.27
AgGe3,mp-1183245,3.36,8.46
AgSn3,mp-1183248,2.99,14.87
Ba3Sb,mp-1183295,2.6,18.61
Ca3Cd,mp-1183501,1.96,15.87
CdCu3,mp-1183623,2.84,7.54
Cd3Ir,mp-1183626,2.5,9.98
CdBi3,mp-1183629,1.85,15.34
Cd3Pt,mp-1183654,2.52,10.29
CrRe3,mp-1183703,6.92,4.74
CoMo3,mp-1183707,6.01,8.38
CrIr3,mp-1183749,6.45,7.89
Co3Sn,mp-1183774,3.98,9.88
CoSn3,mp-1183777,3.51,25.7
Co3Ni,mp-1183837,4.43,26.29
GaAg3,mp-1183967,2.93,8.87
Cu3Ru,mp-1184026,4.01,12.03
CsSr3,mp-1184035,1.33,13.12
CuRu3,mp-1184121,5.64,5.39
CuPb3,mp-1184185,2.17,11.64
Hf3Ge,mp-1184664,6.05,14.79
HfTi3,mp-1184672,5.22,13.39
IrRh3,mp-1184768,6.06,3.79
Ir3Rh,mp-1184771,6.65,4.02
K3Be,mp-1184861,0.92,24.84
K3Ba,mp-1184910,1.1,21.94
K3Na,mp-1184919,0.99,23.1
K3Hf,mp-1184923,1.21,30.18
KCd3,mp-1184962,1.12,15.44
K3Ta,mp-1185022,1.34,28.02
K3Zn,mp-1185029,0.92,28.86
KPt3,mp-1185053,4.18,9.7
LiY3,mp-1185240,3.49,11.8
Na3Ge,mp-1185667,1.82,16.71
MgBi,mp-1185694,1.97,14.44
MgIn2,mp-1185905,2.21,9.98
MgNi3,mp-1185907,3.78,10.24
MgNi,mp-1185908,3.13,8.6
Mn3Re,mp-1185924,4.14,8.18
MgPt5,mp-1185945,5.43,7.45
MgPt2,mp-1185946,4.97,11.26
MgTl3,mp-1185982,1.74,10.45
MgTl3,mp-1185990,1.75,9.38
MnCd3,mp-1185991,1.43,9.97
MgPb2,mp-1185999,1.88,10.43
Na3Ti,mp-1186007,1.36,16.55
MnAu3,mp-1186010,3.64,11.85
Mo3Pt,mp-1186016,6.66,5.68
MoPb3,mp-1186019,2.51,11.45
Na3Pd,mp-1186067,1.83,16.7
Na3Zr,mp-1186104,1.63,22.09
NaTl3,mp-1186189,1.76,11.6
NaY3,mp-1186191,3.25,21.17
NaY3,mp-1186202,3.26,17.04
NbOs3,mp-1186225,8.08,5.12
NbSn3,mp-1186237,3.95,9.85
Os3W,mp-1186374,8.41,7.48
OsRh3,mp-1186377,6.28,5.72
PdPb3,mp-1186443,2.51,15.3
MnGe3,mp-1186709,3.34,8.74
RbMg,mp-1186894,0.98,25.84
Ru3Rh,mp-1186926,6.49,5.56
Sc3Bi,mp-1186964,3.82,15.85
SnGe3,mp-1187066,3.4,9.74
Sr3Sn,mp-1187136,2.44,63.11
Sr3Ti,mp-1187142,1.98,25.93
Sr3W,mp-1187144,2.41,23.19
Ta3Os,mp-1187197,8.4,11.24
Ta3W,mp-1187206,8.34,5.02
TaOs3,mp-1187243,8.3,5.27
Ti3Be,mp-1187475,4.47,16.57
Tl3Ag,mp-1187490,2.04,9.3
Tl3In,mp-1187638,2.02,8.7
V3Fe,mp-1187697,5.2,8.44
Zr3Be,mp-1188016,5.45,19.62
Zr3Sn,mp-1188061,5.83,17.15
Ti5Ga3,mp-1188153,4.49,20.06
Co3Sn2,mp-1190274,3.9,23.82
Ti2Co,mp-1191331,4.96,19.23
TiCo2,mp-1191422,4.84,17.55
OsW2,mp-1192771,8.66,17.18
Sr7Ge6,mp-1198122,3.3,51.44
Hf3Ge,mp-1202616,6.26,34.74
MgPt7,mp-1206346,5.63,5.73
MnAu3,mp-1206376,3.6,9.32
SrIn5,mp-1206486,2.53,12.46
HfAu,mp-1206652,4.62,10.31
ScSn,mp-1206765,3.96,8.58
In2Sb,mp-1207221,2.61,14.26
Zr5Bi3,mp-1207392,5.05,19.26
Zr3Zn2,mp-1207421,4.48,22.3
Zr4Mo,mp-1207454,5.47,16.41
Y3Ir,mp-1207785,5.59,32.79
Ti4Co,mp-1208254,4.27,16.78
CrIr3,mp-12083,6.45,6.03
Sc2Au,mp-1209057,4.53,37.42
VPt2,mp-12108,6.2,8.43
TaRu,mp-12110,7.7,5.17
Ge3W5,mp-1212535,6.63,13.14
Ba4Pt,mp-1214403,2.86,35.02
ZnCu2,mp-1215401,2.81,7.84
Zn3Cu,mp-1215483,1.88,8.46
ZnCu3,mp-1215518,2.97,7.54
YSc,mp-1215893,4.08,9.79
VRu3,mp-1216264,6.39,6.24
VRu4,mp-1216276,6.18,5.7
VOs,mp-1216312,6.74,6.95
VCr,mp-1216394,4.76,5.41
TiCr,mp-1216959,4.34,4.93
Ti3Nb,mp-1217091,5.48,6.92
Ti5Al11,mp-1217111,4.25,21.23
Ti5Mn7,mp-1217189,3.95,12.53
TaW,mp-1217811,8.56,6.4
TaNb,mp-1217892,7.84,4.31
TaOs3,mp-1217906,8.14,8.98
TaRu,mp-1217908,7.71,5.82
Ta2Sn3,mp-1218088,4.79,26.95
Ta3Os2,mp-1218177,8.47,29.15
Re3Mo,mp-1219135,7.61,6.21
RuW,mp-1219476,7.72,6.64
ReMo,mp-1219485,7.32,4.41
ReW2,mp-1219490,8.53,5.57
ReW3,mp-1219491,8.62,6.32
ReMo3,mp-1219493,7.07,5.43
ReW4,mp-1219494,8.67,6.8
RuRh,mp-1219503,6.22,4.99
Rh3W,mp-1219506,6.62,6.82
ReOs,mp-1219509,8.18,6.29
ReMo3,mp-1219517,6.81,5.81
RuRh4,mp-1219522,5.94,3.93
ReIr3,mp-1219535,7.29,5.01
Re3Rh,mp-1219539,7.54,6.91
Re3Pt,mp-1219540,7.53,8.42
NiRu,mp-1219922,5.44,6.78
OsRu,mp-1220023,7.47,5.21
NiPd,mp-1220057,4.11,5.1
NbRe,mp-1220322,7.94,7.4
NbOs3,mp-1220360,7.98,8.39
NbRu3,mp-1220372,6.89,6.85
MoRu,mp-1221386,6.7,6.03
MoRh3,mp-1221397,6.11,6.53
MoIr,mp-1221414,7.08,6.05
MoOs,mp-1221418,7.42,6.65
MoRh,mp-1221419,6.38,6.17
MoIr4,mp-1221426,6.98,5.24
MoPt,mp-1221433,6.49,6.5
MoPt,mp-1221441,6.54,14.1
Mo2Rh,mp-1221484,6.5,9.45
