Seed,MAE,Param
0,-0.6465534962011821,"{'n_estimators': 14, 'max_depth': 23}"
1,-0.5519616760827826,"{'n_estimators': 35, 'max_depth': 22}"
2,-0.24182675352054905,"{'n_estimators': 5, 'max_depth': 20}"
3,-0.5032698585270365,"{'n_estimators': 47, 'max_depth': 11}"
4,-0.6826299784192963,"{'n_estimators': 6, 'max_depth': 44}"
5,-0.39817903371480057,"{'n_estimators': 78, 'max_depth': 5}"
6,-0.5928277488071394,"{'n_estimators': 66, 'max_depth': 5}"
7,-0.25675914350095097,"{'n_estimators': 21, 'max_depth': 25}"
8,-0.5878190922338027,"{'n_estimators': 38, 'max_depth': 21}"
9,-0.36600737180053533,"{'n_estimators': 98, 'max_depth': 13}"
10,-0.41441311845676687,"{'n_estimators': 69, 'max_depth': 5}"
11,-0.6676250887823862,"{'n_estimators': 14, 'max_depth': 18}"
12,-0.14840484726152425,"{'n_estimators': 58, 'max_depth': 5}"
13,-0.3941126564799604,"{'n_estimators': 69, 'max_depth': 12}"
14,-0.6293120493085883,"{'n_estimators': 40, 'max_depth': 6}"
15,-0.47465983128672595,"{'n_estimators': 5, 'max_depth': 24}"
16,-0.48217699890469745,"{'n_estimators': 29, 'max_depth': 7}"
17,-0.5427565321685975,"{'n_estimators': 86, 'max_depth': 15}"
18,-0.5402290278496455,"{'n_estimators': 5, 'max_depth': 5}"
19,-0.4136265908712724,"{'n_estimators': 93, 'max_depth': 7}"
20,-0.4899510527693641,"{'n_estimators': 81, 'max_depth': 15}"
21,-0.7565287349362769,"{'n_estimators': 64, 'max_depth': 13}"
22,-0.5633724807475986,"{'n_estimators': 6, 'max_depth': 50}"
23,-0.47707533947660086,"{'n_estimators': 12, 'max_depth': 33}"
24,-0.5594335041628,"{'n_estimators': 72, 'max_depth': 5}"
25,-0.3644744139803514,"{'n_estimators': 6, 'max_depth': 21}"
26,-0.2894959609827926,"{'n_estimators': 25, 'max_depth': 10}"
27,-0.657502968615665,"{'n_estimators': 97, 'max_depth': 31}"
28,-0.4741020214933336,"{'n_estimators': 94, 'max_depth': 14}"
29,-0.6149144962329981,"{'n_estimators': 37, 'max_depth': 19}"
30,-0.4769608246689441,"{'n_estimators': 49, 'max_depth': 14}"
31,-0.5402095316936091,"{'n_estimators': 48, 'max_depth': 20}"
32,-0.6783822865429932,"{'n_estimators': 54, 'max_depth': 12}"
33,-0.6370868921457185,"{'n_estimators': 53, 'max_depth': 16}"
34,-0.793300178195067,"{'n_estimators': 99, 'max_depth': 8}"
35,-0.5145329355617877,"{'n_estimators': 35, 'max_depth': 7}"
36,-0.25338956008698976,"{'n_estimators': 37, 'max_depth': 19}"
37,-0.4501266229860037,"{'n_estimators': 58, 'max_depth': 8}"
38,-0.5630606729911518,"{'n_estimators': 14, 'max_depth': 33}"
39,-0.5367893220441605,"{'n_estimators': 43, 'max_depth': 35}"
40,-0.44709201111375807,"{'n_estimators': 93, 'max_depth': 8}"
41,-0.6265512501859725,"{'n_estimators': 87, 'max_depth': 40}"
42,-0.4814647999298113,"{'n_estimators': 14, 'max_depth': 48}"
43,-0.6273010937544762,"{'n_estimators': 93, 'max_depth': 18}"
44,-0.4509087286674508,"{'n_estimators': 87, 'max_depth': 15}"
45,-0.41169877604213845,"{'n_estimators': 81, 'max_depth': 34}"
46,-0.612594867070408,"{'n_estimators': 99, 'max_depth': 11}"
47,-0.5682951186741484,"{'n_estimators': 51, 'max_depth': 28}"
48,-0.24190730352864998,"{'n_estimators': 82, 'max_depth': 48}"
49,-0.24166143667130446,"{'n_estimators': 5, 'max_depth': 41}"
50,-0.5202125632549153,"{'n_estimators': 7, 'max_depth': 50}"
51,-0.686534772486691,"{'n_estimators': 16, 'max_depth': 21}"
52,-0.5467783432849367,"{'n_estimators': 100, 'max_depth': 5}"
53,-0.5298376756500687,"{'n_estimators': 90, 'max_depth': 12}"
54,-0.5753922031589846,"{'n_estimators': 10, 'max_depth': 33}"
55,-0.4819703397944233,"{'n_estimators': 5, 'max_depth': 12}"
56,-0.4724707558971445,"{'n_estimators': 66, 'max_depth': 43}"
57,-0.604435247421133,"{'n_estimators': 9, 'max_depth': 19}"
58,-0.5486532054330888,"{'n_estimators': 87, 'max_depth': 13}"
59,-0.3482655712599909,"{'n_estimators': 19, 'max_depth': 45}"
60,-0.6875353151262588,"{'n_estimators': 6, 'max_depth': 37}"
61,-0.5730125978949214,"{'n_estimators': 5, 'max_depth': 34}"
62,-0.1317198161282045,"{'n_estimators': 9, 'max_depth': 46}"
63,-0.5380252819809785,"{'n_estimators': 48, 'max_depth': 16}"
64,-0.2527362665191326,"{'n_estimators': 75, 'max_depth': 15}"
65,-0.5588255733210288,"{'n_estimators': 12, 'max_depth': 20}"
66,-0.5272002637333555,"{'n_estimators': 11, 'max_depth': 18}"
67,-0.3696961761781794,"{'n_estimators': 44, 'max_depth': 27}"
68,-0.44479418626834544,"{'n_estimators': 95, 'max_depth': 13}"
69,-0.7721678254982904,"{'n_estimators': 49, 'max_depth': 5}"
70,-0.5459922799284196,"{'n_estimators': 21, 'max_depth': 46}"
71,-0.44584088906891706,"{'n_estimators': 90, 'max_depth': 10}"
