Seed,MAE,Param
0,-0.09746442023757196,"{'n_estimators': 46, 'max_depth': 45}"
1,-0.6690982494339505,"{'n_estimators': 43, 'max_depth': 9}"
2,-0.40304396067308135,"{'n_estimators': 98, 'max_depth': 5}"
3,-0.7722170791999519,"{'n_estimators': 79, 'max_depth': 14}"
4,-0.4247657053890844,"{'n_estimators': 54, 'max_depth': 44}"
5,-0.5478889584262093,"{'n_estimators': 59, 'max_depth': 33}"
6,-0.6510862288482353,"{'n_estimators': 53, 'max_depth': 22}"
7,-0.41764331828639123,"{'n_estimators': 7, 'max_depth': 19}"
8,-0.4160963684755151,"{'n_estimators': 95, 'max_depth': 35}"
9,-0.5800923721775005,"{'n_estimators': 68, 'max_depth': 5}"
10,-0.06706623602813033,"{'n_estimators': 11, 'max_depth': 38}"
11,-0.44328920777226555,"{'n_estimators': 56, 'max_depth': 11}"
12,-0.5219116772829748,"{'n_estimators': 94, 'max_depth': 18}"
13,-0.6394680961244494,"{'n_estimators': 93, 'max_depth': 15}"
14,-0.5581502634931497,"{'n_estimators': 99, 'max_depth': 13}"
15,-0.2857041339684915,"{'n_estimators': 53, 'max_depth': 8}"
16,-0.381938926565663,"{'n_estimators': 19, 'max_depth': 17}"
17,-0.6178654333769864,"{'n_estimators': 46, 'max_depth': 18}"
18,-0.3073573280412979,"{'n_estimators': 64, 'max_depth': 6}"
19,-0.22827983348367387,"{'n_estimators': 97, 'max_depth': 42}"
20,-0.42520400723414575,"{'n_estimators': 83, 'max_depth': 9}"
21,-0.3974733110384234,"{'n_estimators': 33, 'max_depth': 21}"
22,-0.4822845065741359,"{'n_estimators': 17, 'max_depth': 28}"
23,-0.12056331844892854,"{'n_estimators': 6, 'max_depth': 50}"
24,-0.3632585574209357,"{'n_estimators': 92, 'max_depth': 20}"
25,-0.229756795606607,"{'n_estimators': 28, 'max_depth': 15}"
26,-0.39647990800235156,"{'n_estimators': 73, 'max_depth': 35}"
27,-0.5712707917189613,"{'n_estimators': 61, 'max_depth': 9}"
28,-0.1510517357903528,"{'n_estimators': 98, 'max_depth': 5}"
29,-0.3782874894322824,"{'n_estimators': 50, 'max_depth': 6}"
30,-0.6173391957608594,"{'n_estimators': 82, 'max_depth': 14}"
31,-0.6411804453646743,"{'n_estimators': 8, 'max_depth': 5}"
32,-0.39372914042508,"{'n_estimators': 42, 'max_depth': 17}"
33,-0.478572190729456,"{'n_estimators': 100, 'max_depth': 19}"
34,-0.41200189446940394,"{'n_estimators': 10, 'max_depth': 43}"
35,-0.5982207851681804,"{'n_estimators': 26, 'max_depth': 40}"
36,-0.5447151605783515,"{'n_estimators': 85, 'max_depth': 18}"
37,-0.7833102014634363,"{'n_estimators': 17, 'max_depth': 41}"
38,0.04288377730459736,"{'n_estimators': 95, 'max_depth': 5}"
39,-0.24286404191169775,"{'n_estimators': 98, 'max_depth': 13}"
40,-0.494350199008442,"{'n_estimators': 7, 'max_depth': 15}"
41,-0.540649166253012,"{'n_estimators': 85, 'max_depth': 7}"
42,-0.636431702659911,"{'n_estimators': 8, 'max_depth': 10}"
43,-0.548876613821699,"{'n_estimators': 5, 'max_depth': 33}"
44,-0.4893721169210592,"{'n_estimators': 63, 'max_depth': 29}"
45,-0.7277185899019376,"{'n_estimators': 100, 'max_depth': 5}"
46,-0.5030841571186546,"{'n_estimators': 9, 'max_depth': 15}"
47,-0.7448937872557686,"{'n_estimators': 13, 'max_depth': 27}"
48,-0.397953396807485,"{'n_estimators': 70, 'max_depth': 49}"
49,-0.5070648109899354,"{'n_estimators': 48, 'max_depth': 11}"
50,0.013876072984524868,"{'n_estimators': 100, 'max_depth': 17}"
51,-0.31051066501633884,"{'n_estimators': 100, 'max_depth': 20}"
52,-0.5551293711637709,"{'n_estimators': 90, 'max_depth': 20}"
53,-0.270947189052976,"{'n_estimators': 77, 'max_depth': 15}"
54,-0.6033563006735172,"{'n_estimators': 65, 'max_depth': 41}"
55,-0.2780161471701259,"{'n_estimators': 13, 'max_depth': 25}"
56,-0.6594072443665168,"{'n_estimators': 57, 'max_depth': 23}"
57,-0.6279885096690994,"{'n_estimators': 93, 'max_depth': 27}"
58,-0.3741192561375898,"{'n_estimators': 10, 'max_depth': 50}"
59,-0.5995518190494995,"{'n_estimators': 98, 'max_depth': 7}"
60,-0.30298846231939247,"{'n_estimators': 96, 'max_depth': 17}"
61,-0.6038342072713553,"{'n_estimators': 9, 'max_depth': 9}"
62,-0.14496718498834238,"{'n_estimators': 28, 'max_depth': 17}"
63,-0.6034594720201374,"{'n_estimators': 70, 'max_depth': 23}"
64,-0.6795286577860473,"{'n_estimators': 98, 'max_depth': 10}"
65,-0.5710284608374878,"{'n_estimators': 67, 'max_depth': 19}"
66,-0.7195922534346444,"{'n_estimators': 85, 'max_depth': 22}"
67,-0.3315236614274809,"{'n_estimators': 13, 'max_depth': 30}"
68,-0.4837796008180695,"{'n_estimators': 100, 'max_depth': 12}"
69,-0.7321774909516271,"{'n_estimators': 21, 'max_depth': 17}"
70,-0.4446021213189233,"{'n_estimators': 80, 'max_depth': 11}"
71,-0.25560062260535543,"{'n_estimators': 55, 'max_depth': 11}"
72,-0.46575131536635284,"{'n_estimators': 11, 'max_depth': 13}"
73,-0.64071193414786,"{'n_estimators': 7, 'max_depth': 9}"
74,-0.5047254465565183,"{'n_estimators': 41, 'max_depth': 16}"
75,-0.15117805517686,"{'n_estimators': 15, 'max_depth': 10}"
76,-0.6525306915813999,"{'n_estimators': 61, 'max_depth': 9}"
77,-0.5553148572381643,"{'n_estimators': 8, 'max_depth': 38}"
78,-0.3486469334693577,"{'n_estimators': 87, 'max_depth': 48}"
79,-0.6190841815915463,"{'n_estimators': 10, 'max_depth': 7}"
80,-0.38855131499919404,"{'n_estimators': 5, 'max_depth': 31}"
81,-0.7415509709454806,"{'n_estimators': 5, 'max_depth': 28}"
82,-0.4486454168072104,"{'n_estimators': 6, 'max_depth': 18}"
83,-0.6004673645042904,"{'n_estimators': 76, 'max_depth': 14}"
84,-0.23197687558318003,"{'n_estimators': 84, 'max_depth': 22}"
85,-0.6891303271874516,"{'n_estimators': 54, 'max_depth': 8}"
86,-0.6890915618429194,"{'n_estimators': 12, 'max_depth': 10}"
87,-0.6710037689133646,"{'n_estimators': 87, 'max_depth': 5}"
88,-0.598281925290103,"{'n_estimators': 88, 'max_depth': 45}"
89,-0.4534993149336395,"{'n_estimators': 63, 'max_depth': 21}"
90,-0.3603964147123576,"{'n_estimators': 75, 'max_depth': 13}"
91,-0.7847242230849929,"{'n_estimators': 51, 'max_depth': 13}"
92,-0.3581118448779289,"{'n_estimators': 25, 'max_depth': 5}"
93,-0.7562863281742239,"{'n_estimators': 6, 'max_depth': 19}"
94,-0.5252776316879207,"{'n_estimators': 7, 'max_depth': 15}"
95,-0.5695002755616526,"{'n_estimators': 30, 'max_depth': 5}"
96,-0.5439310076577313,"{'n_estimators': 100, 'max_depth': 14}"
97,-0.6592222645530624,"{'n_estimators': 15, 'max_depth': 16}"
98,-0.3132750919953774,"{'n_estimators': 68, 'max_depth': 17}"
99,-0.41851198519583477,"{'n_estimators': 62, 'max_depth': 21}"
100,-0.5937466833764221,"{'n_estimators': 49, 'max_depth': 20}"
101,-0.4687701569911644,"{'n_estimators': 100, 'max_depth': 5}"
102,-0.5971870143478109,"{'n_estimators': 11, 'max_depth': 42}"
103,-0.6074682195893057,"{'n_estimators': 78, 'max_depth': 12}"
104,-0.3960724997761742,"{'n_estimators': 80, 'max_depth': 20}"
105,-0.4118319995843531,"{'n_estimators': 60, 'max_depth': 22}"
106,-0.694728951354648,"{'n_estimators': 54, 'max_depth': 17}"
107,-0.683637824419157,"{'n_estimators': 49, 'max_depth': 37}"
108,-0.4702225058431888,"{'n_estimators': 57, 'max_depth': 22}"
109,-0.6582503199369341,"{'n_estimators': 26, 'max_depth': 16}"
110,-0.3151958060581417,"{'n_estimators': 6, 'max_depth': 9}"
111,-0.40291622650682113,"{'n_estimators': 16, 'max_depth': 45}"
112,-0.08440494329857673,"{'n_estimators': 33, 'max_depth': 43}"
113,-0.5546469609113808,"{'n_estimators': 44, 'max_depth': 11}"
114,-0.650262746054227,"{'n_estimators': 5, 'max_depth': 7}"
115,-0.23917270893711928,"{'n_estimators': 53, 'max_depth': 14}"
116,-0.35761143885285174,"{'n_estimators': 89, 'max_depth': 14}"
117,-0.46810367400710207,"{'n_estimators': 5, 'max_depth': 29}"
118,-0.5535089431052214,"{'n_estimators': 22, 'max_depth': 8}"
119,-0.49197632984860995,"{'n_estimators': 45, 'max_depth': 31}"
120,-0.46464322204466313,"{'n_estimators': 70, 'max_depth': 7}"
121,-0.5050337838094856,"{'n_estimators': 89, 'max_depth': 5}"
122,-0.6651017132339617,"{'n_estimators': 71, 'max_depth': 6}"
123,-0.20318751512582722,"{'n_estimators': 94, 'max_depth': 21}"
124,-0.6925276059491228,"{'n_estimators': 74, 'max_depth': 40}"
125,-0.42913287207233064,"{'n_estimators': 28, 'max_depth': 5}"
126,-0.42520541505331444,"{'n_estimators': 100, 'max_depth': 19}"
127,-0.5419427631108109,"{'n_estimators': 100, 'max_depth': 10}"
128,-0.619664805513829,"{'n_estimators': 6, 'max_depth': 34}"
129,-0.7041601590505112,"{'n_estimators': 13, 'max_depth': 31}"
130,-0.5170000438164081,"{'n_estimators': 96, 'max_depth': 15}"
131,-0.7322349638436119,"{'n_estimators': 52, 'max_depth': 10}"
132,-0.27327090115671615,"{'n_estimators': 91, 'max_depth': 15}"
133,-0.3484509744502393,"{'n_estimators': 96, 'max_depth': 16}"
134,-0.4635041750006973,"{'n_estimators': 8, 'max_depth': 42}"
135,-0.25779211590477524,"{'n_estimators': 71, 'max_depth': 5}"
136,-0.4691842382048337,"{'n_estimators': 75, 'max_depth': 34}"
137,-0.6021109642951532,"{'n_estimators': 57, 'max_depth': 15}"
138,-0.4195117226508327,"{'n_estimators': 32, 'max_depth': 15}"
139,-0.46549131748751227,"{'n_estimators': 91, 'max_depth': 13}"
140,-0.534282397535462,"{'n_estimators': 30, 'max_depth': 17}"
141,-0.6384426801001429,"{'n_estimators': 5, 'max_depth': 21}"
142,-0.28441908436772245,"{'n_estimators': 16, 'max_depth': 32}"
143,-0.2917118186044144,"{'n_estimators': 45, 'max_depth': 12}"
144,-0.6968228390286061,"{'n_estimators': 15, 'max_depth': 17}"
145,-0.5178296259263488,"{'n_estimators': 90, 'max_depth': 10}"
146,-0.5227850940851063,"{'n_estimators': 96, 'max_depth': 37}"
147,-0.4216876079628872,"{'n_estimators': 5, 'max_depth': 17}"
148,-0.4896858367028164,"{'n_estimators': 20, 'max_depth': 14}"
149,-0.4965028138945593,"{'n_estimators': 84, 'max_depth': 5}"
150,-0.35089143501297093,"{'n_estimators': 10, 'max_depth': 25}"
151,-0.5399199344470199,"{'n_estimators': 92, 'max_depth': 13}"
152,-0.36987696526885583,"{'n_estimators': 45, 'max_depth': 47}"
153,-0.6834533582107013,"{'n_estimators': 90, 'max_depth': 6}"
154,-0.34652867683048527,"{'n_estimators': 7, 'max_depth': 8}"
155,-0.19390758087737536,"{'n_estimators': 78, 'max_depth': 10}"
156,-0.308417194808303,"{'n_estimators': 8, 'max_depth': 42}"
157,-0.6379916330274835,"{'n_estimators': 58, 'max_depth': 16}"
158,-0.28689348709312745,"{'n_estimators': 7, 'max_depth': 38}"
159,-0.6521479591735224,"{'n_estimators': 31, 'max_depth': 19}"
160,-0.6346088654982939,"{'n_estimators': 41, 'max_depth': 13}"
161,-0.4085204072676729,"{'n_estimators': 86, 'max_depth': 11}"
162,-0.6276403335008556,"{'n_estimators': 24, 'max_depth': 18}"
163,-0.45939455783927174,"{'n_estimators': 37, 'max_depth': 19}"
164,-0.6875147255263698,"{'n_estimators': 66, 'max_depth': 11}"
165,-0.6733578674094207,"{'n_estimators': 21, 'max_depth': 17}"
166,-0.4948406675617322,"{'n_estimators': 7, 'max_depth': 19}"
167,-0.4739682658391031,"{'n_estimators': 35, 'max_depth': 13}"
168,-0.31985853843451806,"{'n_estimators': 80, 'max_depth': 8}"
169,-0.506377626544195,"{'n_estimators': 35, 'max_depth': 50}"
170,-0.7106363424655937,"{'n_estimators': 57, 'max_depth': 5}"
171,0.03905664221167471,"{'n_estimators': 75, 'max_depth': 46}"
172,-0.5433419060072129,"{'n_estimators': 76, 'max_depth': 20}"
173,-0.42268784486191624,"{'n_estimators': 7, 'max_depth': 41}"
174,-0.5771522831794093,"{'n_estimators': 71, 'max_depth': 13}"
175,-0.3951782637918615,"{'n_estimators': 10, 'max_depth': 36}"
176,-0.16743263393756347,"{'n_estimators': 33, 'max_depth': 44}"
177,-0.6557028901841769,"{'n_estimators': 22, 'max_depth': 45}"
178,-0.2597836364529881,"{'n_estimators': 59, 'max_depth': 23}"
179,-0.2641994359827915,"{'n_estimators': 99, 'max_depth': 19}"
180,-0.7682531898305991,"{'n_estimators': 7, 'max_depth': 42}"
181,-0.29086491437030115,"{'n_estimators': 43, 'max_depth': 44}"
182,-0.08669659062881618,"{'n_estimators': 93, 'max_depth': 16}"
183,-0.2681423811096523,"{'n_estimators': 98, 'max_depth': 28}"
184,-0.5188850236357994,"{'n_estimators': 48, 'max_depth': 25}"
185,-0.42934530635421175,"{'n_estimators': 15, 'max_depth': 32}"
186,-0.5311827381213579,"{'n_estimators': 62, 'max_depth': 30}"
187,-0.5394156418533294,"{'n_estimators': 18, 'max_depth': 12}"
188,-0.7276355686061446,"{'n_estimators': 70, 'max_depth': 15}"
189,-0.39996809077574047,"{'n_estimators': 58, 'max_depth': 38}"
190,-0.2915927743138186,"{'n_estimators': 91, 'max_depth': 11}"
191,-0.6046659969499892,"{'n_estimators': 24, 'max_depth': 8}"
192,-0.4478830231955121,"{'n_estimators': 24, 'max_depth': 8}"
193,-0.6155546987350466,"{'n_estimators': 24, 'max_depth': 13}"
194,-0.298499996379738,"{'n_estimators': 63, 'max_depth': 20}"
195,-0.5602025193865146,"{'n_estimators': 20, 'max_depth': 47}"
196,-0.4764017906125505,"{'n_estimators': 78, 'max_depth': 13}"
197,0.38849082591537654,"{'n_estimators': 6, 'max_depth': 40}"
198,-0.310283756479234,"{'n_estimators': 57, 'max_depth': 13}"
199,-0.2060814369363987,"{'n_estimators': 26, 'max_depth': 18}"
200,-0.6811013632116627,"{'n_estimators': 50, 'max_depth': 9}"
201,-0.6573338208890448,"{'n_estimators': 72, 'max_depth': 33}"
202,-0.6846763317905851,"{'n_estimators': 73, 'max_depth': 7}"
203,-0.18894450184554978,"{'n_estimators': 5, 'max_depth': 36}"
204,-0.6031858637394725,"{'n_estimators': 68, 'max_depth': 18}"
205,-0.6966331084907678,"{'n_estimators': 75, 'max_depth': 17}"
206,-0.6737179034667204,"{'n_estimators': 73, 'max_depth': 48}"
207,-0.6673033271949813,"{'n_estimators': 90, 'max_depth': 11}"
208,-0.709620409575394,"{'n_estimators': 16, 'max_depth': 26}"
209,-0.2859827021806338,"{'n_estimators': 79, 'max_depth': 12}"
210,-0.1492368072796092,"{'n_estimators': 61, 'max_depth': 5}"
211,-0.486549979332464,"{'n_estimators': 10, 'max_depth': 23}"
212,-0.6522214002310303,"{'n_estimators': 33, 'max_depth': 5}"
213,-0.24602167195934543,"{'n_estimators': 79, 'max_depth': 11}"
214,-0.43847416866721445,"{'n_estimators': 12, 'max_depth': 38}"
215,-0.6187795041733608,"{'n_estimators': 44, 'max_depth': 11}"
216,-0.5765819553930048,"{'n_estimators': 73, 'max_depth': 46}"
217,-0.37075478938804407,"{'n_estimators': 47, 'max_depth': 15}"
218,-0.17056515873700318,"{'n_estimators': 30, 'max_depth': 12}"
219,-0.4052944537217448,"{'n_estimators': 40, 'max_depth': 49}"
220,0.02360485947275026,"{'n_estimators': 95, 'max_depth': 15}"
221,-0.8006485243045912,"{'n_estimators': 99, 'max_depth': 12}"
222,-0.4234805361831703,"{'n_estimators': 94, 'max_depth': 19}"
223,-0.40168996618633723,"{'n_estimators': 70, 'max_depth': 12}"
224,-0.6043106028778307,"{'n_estimators': 35, 'max_depth': 8}"
225,-0.5274112903372719,"{'n_estimators': 5, 'max_depth': 7}"
226,-0.694971407776173,"{'n_estimators': 6, 'max_depth': 14}"
227,-0.40534735020918045,"{'n_estimators': 69, 'max_depth': 18}"
228,-0.2298820225892111,"{'n_estimators': 47, 'max_depth': 43}"
229,-0.5750758025148901,"{'n_estimators': 11, 'max_depth': 20}"
230,-0.37271867120789404,"{'n_estimators': 29, 'max_depth': 42}"
231,-0.6039162855298712,"{'n_estimators': 98, 'max_depth': 20}"
232,-0.7156146867579395,"{'n_estimators': 6, 'max_depth': 27}"
233,-0.4484495286829492,"{'n_estimators': 13, 'max_depth': 19}"
234,-0.5012056458265248,"{'n_estimators': 17, 'max_depth': 21}"
235,-0.3566345821797109,"{'n_estimators': 75, 'max_depth': 17}"
236,-0.43733273751171686,"{'n_estimators': 72, 'max_depth': 22}"
237,-0.6103539854230158,"{'n_estimators': 7, 'max_depth': 11}"
238,-0.6372737965449157,"{'n_estimators': 16, 'max_depth': 38}"
239,-0.44975829196563744,"{'n_estimators': 15, 'max_depth': 49}"
240,-0.7160497084606656,"{'n_estimators': 29, 'max_depth': 31}"
241,-0.6373099178036723,"{'n_estimators': 79, 'max_depth': 42}"
242,-0.26207857109455257,"{'n_estimators': 72, 'max_depth': 15}"
243,-0.3722477986218041,"{'n_estimators': 35, 'max_depth': 12}"
244,-0.2889569575104466,"{'n_estimators': 81, 'max_depth': 19}"
245,-0.5854055191955024,"{'n_estimators': 63, 'max_depth': 41}"
246,-0.36010260122470517,"{'n_estimators': 19, 'max_depth': 33}"
247,-0.5161484332675156,"{'n_estimators': 97, 'max_depth': 6}"
248,-0.2887689180408396,"{'n_estimators': 22, 'max_depth': 7}"
249,-0.3398018609468997,"{'n_estimators': 21, 'max_depth': 15}"
250,-0.6853665988047588,"{'n_estimators': 33, 'max_depth': 11}"
251,-0.5503770375224195,"{'n_estimators': 63, 'max_depth': 15}"
252,-0.5581969407554275,"{'n_estimators': 100, 'max_depth': 6}"
253,-0.460829514001205,"{'n_estimators': 5, 'max_depth': 9}"
254,-0.4786309193263675,"{'n_estimators': 94, 'max_depth': 19}"
255,-0.4150604911213871,"{'n_estimators': 13, 'max_depth': 14}"
256,-0.8033456218746945,"{'n_estimators': 21, 'max_depth': 19}"
257,-0.5815243699664231,"{'n_estimators': 27, 'max_depth': 5}"
258,-0.683870673554007,"{'n_estimators': 36, 'max_depth': 32}"
259,-0.4508803935805894,"{'n_estimators': 5, 'max_depth': 20}"
260,-0.3335851025719474,"{'n_estimators': 91, 'max_depth': 14}"
261,-0.7104648743559444,"{'n_estimators': 91, 'max_depth': 10}"
262,-0.6585358042292955,"{'n_estimators': 92, 'max_depth': 16}"
263,-0.6803434134480706,"{'n_estimators': 90, 'max_depth': 14}"
264,-0.4158903810086313,"{'n_estimators': 44, 'max_depth': 12}"
