Seed,MAE,Param
0,-0.6834770520506588,"{'n_estimators': 100, 'max_depth': 10}"
1,-0.5635653963064643,"{'n_estimators': 34, 'max_depth': 17}"
2,-0.6790564414715983,"{'n_estimators': 96, 'max_depth': 5}"
3,-0.4310902661498459,"{'n_estimators': 73, 'max_depth': 14}"
4,-0.44889086828683267,"{'n_estimators': 84, 'max_depth': 28}"
5,-0.7392314312334078,"{'n_estimators': 25, 'max_depth': 19}"
6,-0.7983142489663066,"{'n_estimators': 68, 'max_depth': 34}"
7,-0.5679668984780808,"{'n_estimators': 8, 'max_depth': 23}"
8,-0.4245951459485998,"{'n_estimators': 16, 'max_depth': 14}"
9,-0.6651499028530772,"{'n_estimators': 65, 'max_depth': 5}"
10,-0.28797365717752954,"{'n_estimators': 92, 'max_depth': 10}"
11,-0.5483419354146892,"{'n_estimators': 6, 'max_depth': 6}"
12,-0.44388208038036514,"{'n_estimators': 41, 'max_depth': 11}"
13,-0.6413446980990373,"{'n_estimators': 40, 'max_depth': 21}"
14,-0.5539482580168702,"{'n_estimators': 31, 'max_depth': 10}"
15,-0.5536178761134489,"{'n_estimators': 100, 'max_depth': 12}"
16,-0.4053474924171663,"{'n_estimators': 48, 'max_depth': 33}"
17,-0.51394250642867,"{'n_estimators': 22, 'max_depth': 7}"
18,-0.34652502373441374,"{'n_estimators': 61, 'max_depth': 5}"
19,-0.5866033580103818,"{'n_estimators': 69, 'max_depth': 21}"
20,-0.5203312373651185,"{'n_estimators': 100, 'max_depth': 18}"
21,-0.7562643382955344,"{'n_estimators': 9, 'max_depth': 32}"
22,-0.7589815988846969,"{'n_estimators': 99, 'max_depth': 16}"
23,-0.5250373102647072,"{'n_estimators': 92, 'max_depth': 5}"
24,-0.582977142464681,"{'n_estimators': 31, 'max_depth': 10}"
25,-0.720160818846413,"{'n_estimators': 16, 'max_depth': 33}"
26,-0.5388610885067088,"{'n_estimators': 20, 'max_depth': 17}"
27,-0.6574333672829822,"{'n_estimators': 15, 'max_depth': 14}"
28,-0.7588783993510345,"{'n_estimators': 30, 'max_depth': 40}"
29,-0.48143084653997903,"{'n_estimators': 97, 'max_depth': 6}"
30,-0.6454001914607934,"{'n_estimators': 67, 'max_depth': 16}"
31,-0.6164153466346186,"{'n_estimators': 96, 'max_depth': 12}"
32,-0.4490939276853051,"{'n_estimators': 74, 'max_depth': 6}"
33,-0.45108282342095396,"{'n_estimators': 29, 'max_depth': 25}"
34,-0.43075202615490293,"{'n_estimators': 17, 'max_depth': 46}"
35,-0.7211561126569956,"{'n_estimators': 21, 'max_depth': 42}"
36,-0.28957261788472755,"{'n_estimators': 5, 'max_depth': 43}"
37,-0.7160548249627768,"{'n_estimators': 100, 'max_depth': 7}"
38,-0.5563384432204156,"{'n_estimators': 9, 'max_depth': 5}"
39,-0.1452760387310107,"{'n_estimators': 94, 'max_depth': 9}"
40,-0.45860928278886415,"{'n_estimators': 6, 'max_depth': 47}"
41,-0.4354136090376336,"{'n_estimators': 37, 'max_depth': 20}"
42,-0.6181121570591721,"{'n_estimators': 28, 'max_depth': 14}"
43,-0.27477490979671526,"{'n_estimators': 52, 'max_depth': 9}"
44,-0.36847194222617563,"{'n_estimators': 93, 'max_depth': 15}"
45,-0.3756298716804036,"{'n_estimators': 57, 'max_depth': 8}"
46,-0.4052972172730347,"{'n_estimators': 79, 'max_depth': 31}"
47,-0.36352385717169655,"{'n_estimators': 91, 'max_depth': 10}"
48,-0.42407424897112656,"{'n_estimators': 18, 'max_depth': 11}"
49,-0.5751864412696706,"{'n_estimators': 83, 'max_depth': 37}"
50,-0.3974127452562236,"{'n_estimators': 9, 'max_depth': 8}"
51,-0.7599104494576672,"{'n_estimators': 96, 'max_depth': 8}"
52,-0.6287353971633034,"{'n_estimators': 25, 'max_depth': 9}"
53,-0.34489926086289036,"{'n_estimators': 92, 'max_depth': 27}"
54,-0.32248051892744334,"{'n_estimators': 7, 'max_depth': 5}"
55,-0.6272359616066404,"{'n_estimators': 90, 'max_depth': 15}"
56,-0.6593548082673643,"{'n_estimators': 33, 'max_depth': 6}"
57,-0.2773569126312022,"{'n_estimators': 47, 'max_depth': 6}"
58,-0.42173487626369854,"{'n_estimators': 80, 'max_depth': 12}"
59,0.00513081413326999,"{'n_estimators': 9, 'max_depth': 34}"
60,-0.468891134210512,"{'n_estimators': 79, 'max_depth': 6}"
61,-0.636553121308642,"{'n_estimators': 100, 'max_depth': 20}"
62,-0.42088705373127533,"{'n_estimators': 6, 'max_depth': 15}"
63,-0.4941411112069731,"{'n_estimators': 15, 'max_depth': 10}"
64,-0.1522059916466375,"{'n_estimators': 44, 'max_depth': 17}"
65,-0.6268583366168043,"{'n_estimators': 92, 'max_depth': 47}"
66,-0.5646235226099772,"{'n_estimators': 30, 'max_depth': 12}"
67,-0.3957655647401086,"{'n_estimators': 30, 'max_depth': 5}"
68,-0.32414049987731997,"{'n_estimators': 35, 'max_depth': 21}"
69,-0.4059270568429747,"{'n_estimators': 29, 'max_depth': 43}"
70,-0.5613001569166048,"{'n_estimators': 99, 'max_depth': 50}"
71,-0.6080563145372035,"{'n_estimators': 5, 'max_depth': 6}"
72,-0.5189003855400848,"{'n_estimators': 95, 'max_depth': 8}"
73,-0.6605563475065694,"{'n_estimators': 6, 'max_depth': 45}"
74,-0.4125520907697914,"{'n_estimators': 11, 'max_depth': 12}"
75,-0.2197346727959344,"{'n_estimators': 28, 'max_depth': 17}"
76,-0.7924374180853752,"{'n_estimators': 69, 'max_depth': 29}"
77,-0.658120294095457,"{'n_estimators': 5, 'max_depth': 25}"
78,-0.606119911430476,"{'n_estimators': 97, 'max_depth': 12}"
79,-0.6581777379195346,"{'n_estimators': 96, 'max_depth': 16}"
80,-0.6162296282125143,"{'n_estimators': 97, 'max_depth': 10}"
81,-0.6111286265527625,"{'n_estimators': 95, 'max_depth': 17}"
82,-0.2045807351791673,"{'n_estimators': 59, 'max_depth': 23}"
83,-0.5782061679775439,"{'n_estimators': 10, 'max_depth': 10}"
84,-0.7370549717174817,"{'n_estimators': 97, 'max_depth': 7}"
85,-0.5173345419882425,"{'n_estimators': 32, 'max_depth': 12}"
86,-0.5808923453447201,"{'n_estimators': 18, 'max_depth': 18}"
87,-0.5203696679830127,"{'n_estimators': 39, 'max_depth': 12}"
88,-0.5985002744478098,"{'n_estimators': 41, 'max_depth': 5}"
89,-0.5706546666745094,"{'n_estimators': 9, 'max_depth': 30}"
90,-0.23201495537835204,"{'n_estimators': 100, 'max_depth': 33}"
91,-0.6824895461090121,"{'n_estimators': 96, 'max_depth': 15}"
92,-0.248615584048008,"{'n_estimators': 12, 'max_depth': 21}"
93,-0.5157084808575045,"{'n_estimators': 9, 'max_depth': 28}"
94,-0.633690408149151,"{'n_estimators': 78, 'max_depth': 16}"
95,-0.37396495463821344,"{'n_estimators': 73, 'max_depth': 33}"
96,-0.44413174275960043,"{'n_estimators': 10, 'max_depth': 35}"
97,-0.5616882423256739,"{'n_estimators': 36, 'max_depth': 14}"
98,-0.3686718624281137,"{'n_estimators': 9, 'max_depth': 21}"
99,-0.6875637242034982,"{'n_estimators': 73, 'max_depth': 6}"
100,-0.583879296601062,"{'n_estimators': 76, 'max_depth': 7}"
101,-0.7307808157608002,"{'n_estimators': 16, 'max_depth': 16}"
102,-0.5203225316827678,"{'n_estimators': 9, 'max_depth': 13}"
103,-0.16481871053047525,"{'n_estimators': 97, 'max_depth': 24}"
104,-0.5004327035253491,"{'n_estimators': 99, 'max_depth': 8}"
105,-0.4528111767842531,"{'n_estimators': 5, 'max_depth': 14}"
106,-0.49338927147011,"{'n_estimators': 71, 'max_depth': 11}"
107,-0.38964652263713295,"{'n_estimators': 21, 'max_depth': 10}"
108,-0.46651114577029906,"{'n_estimators': 94, 'max_depth': 45}"
109,-0.5704225623650152,"{'n_estimators': 35, 'max_depth': 39}"
110,-0.6855448580901925,"{'n_estimators': 9, 'max_depth': 16}"
111,-0.4853545721893616,"{'n_estimators': 51, 'max_depth': 5}"
112,-0.34329372163156746,"{'n_estimators': 89, 'max_depth': 33}"
113,-0.48046209823759145,"{'n_estimators': 25, 'max_depth': 36}"
114,-0.5460862599252254,"{'n_estimators': 86, 'max_depth': 5}"
115,-0.5115119498228589,"{'n_estimators': 11, 'max_depth': 15}"
116,-0.6812688029672288,"{'n_estimators': 96, 'max_depth': 5}"
117,-0.685763204963691,"{'n_estimators': 97, 'max_depth': 42}"
118,-0.4000181763316685,"{'n_estimators': 99, 'max_depth': 25}"
119,-0.3304347065235066,"{'n_estimators': 13, 'max_depth': 20}"
120,-0.8469930680912163,"{'n_estimators': 65, 'max_depth': 50}"
121,-0.40329631300515323,"{'n_estimators': 45, 'max_depth': 7}"
122,-0.5595054140345109,"{'n_estimators': 47, 'max_depth': 18}"
123,-0.2136794676406335,"{'n_estimators': 48, 'max_depth': 15}"
124,-0.548863322066139,"{'n_estimators': 87, 'max_depth': 6}"
125,-0.6265268271825617,"{'n_estimators': 5, 'max_depth': 14}"
126,-0.685248144560848,"{'n_estimators': 19, 'max_depth': 38}"
127,-0.6815453459016406,"{'n_estimators': 94, 'max_depth': 5}"
128,-0.5813652888355603,"{'n_estimators': 92, 'max_depth': 12}"
129,-0.7027914398642238,"{'n_estimators': 72, 'max_depth': 20}"
130,-0.40048481533165636,"{'n_estimators': 77, 'max_depth': 9}"
131,-0.36793808060361133,"{'n_estimators': 36, 'max_depth': 17}"
132,-0.6041828919137129,"{'n_estimators': 52, 'max_depth': 22}"
133,-0.5765379759832,"{'n_estimators': 22, 'max_depth': 46}"
134,-0.4731677486593565,"{'n_estimators': 41, 'max_depth': 15}"
135,-0.5446533901735774,"{'n_estimators': 67, 'max_depth': 12}"
136,-0.7092476053995902,"{'n_estimators': 75, 'max_depth': 17}"
137,-0.26046169909935724,"{'n_estimators': 88, 'max_depth': 9}"
138,-0.7236640343048844,"{'n_estimators': 12, 'max_depth': 27}"
139,-0.49429722324640013,"{'n_estimators': 21, 'max_depth': 31}"
140,-0.7536004037951466,"{'n_estimators': 70, 'max_depth': 10}"
141,-0.46857309229713084,"{'n_estimators': 15, 'max_depth': 33}"
142,-0.656826545855668,"{'n_estimators': 95, 'max_depth': 13}"
143,-0.5342548008841934,"{'n_estimators': 85, 'max_depth': 26}"
144,-0.3237129231076945,"{'n_estimators': 38, 'max_depth': 11}"
145,-0.4433509050979979,"{'n_estimators': 28, 'max_depth': 19}"
146,-0.5949765872294148,"{'n_estimators': 97, 'max_depth': 14}"
147,-0.6686621336501903,"{'n_estimators': 12, 'max_depth': 16}"
148,-0.4495566357710391,"{'n_estimators': 96, 'max_depth': 14}"
149,-0.6740077806920853,"{'n_estimators': 34, 'max_depth': 26}"
150,-0.6389071806512643,"{'n_estimators': 17, 'max_depth': 6}"
151,-0.5640665461617872,"{'n_estimators': 98, 'max_depth': 17}"
152,-0.6886994074770021,"{'n_estimators': 38, 'max_depth': 7}"
153,-0.2503901553545854,"{'n_estimators': 31, 'max_depth': 29}"
154,-0.6788730326546975,"{'n_estimators': 45, 'max_depth': 7}"
155,-0.4277732615320684,"{'n_estimators': 5, 'max_depth': 44}"
156,-0.37790057097515306,"{'n_estimators': 10, 'max_depth': 15}"
157,-0.7800239977823689,"{'n_estimators': 30, 'max_depth': 8}"
158,-0.5359485429335145,"{'n_estimators': 21, 'max_depth': 16}"
159,-0.4929308955669094,"{'n_estimators': 61, 'max_depth': 5}"
160,-0.4141819971851236,"{'n_estimators': 15, 'max_depth': 35}"
161,-0.3206253771597697,"{'n_estimators': 85, 'max_depth': 12}"
162,-0.432016004562353,"{'n_estimators': 64, 'max_depth': 5}"
163,-0.8169355957935932,"{'n_estimators': 16, 'max_depth': 8}"
164,-0.4009799036449315,"{'n_estimators': 35, 'max_depth': 20}"
165,-0.6470373242014819,"{'n_estimators': 19, 'max_depth': 6}"
166,1.0774928731508835,"{'n_estimators': 98, 'max_depth': 24}"
167,-0.20018734929720894,"{'n_estimators': 100, 'max_depth': 12}"
168,-0.40505676772615684,"{'n_estimators': 18, 'max_depth': 35}"
169,-0.49983579546163803,"{'n_estimators': 96, 'max_depth': 12}"
170,-0.37271062567635427,"{'n_estimators': 100, 'max_depth': 26}"
171,-0.678564489472236,"{'n_estimators': 44, 'max_depth': 14}"
172,-0.6880476987860009,"{'n_estimators': 100, 'max_depth': 45}"
173,-0.6433224896986437,"{'n_estimators': 100, 'max_depth': 10}"
174,-0.5754770520836392,"{'n_estimators': 68, 'max_depth': 9}"
175,-0.6609527549306424,"{'n_estimators': 91, 'max_depth': 17}"
176,-0.5375727136690807,"{'n_estimators': 98, 'max_depth': 21}"
177,-0.36647942337777406,"{'n_estimators': 57, 'max_depth': 26}"
178,-0.5962023052263077,"{'n_estimators': 13, 'max_depth': 15}"
179,-0.47171327780520844,"{'n_estimators': 84, 'max_depth': 37}"
